"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Christian McCaffrey","+2500","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"2","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Jalen Hurts","+4000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"3","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Miles Sanders","+4500","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"4","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","A.J. Brown","+5000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"5","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Deebo Samuel","+7500","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"6","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Dallas Goedert","+8000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"7","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","George Kittle","+8000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"8","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","DeVonta Smith","+9000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"9","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Brandon Aiyuk","+11000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"10","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Elijah Mitchell","+16000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"11","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","PHI Eagles D/ST","+18000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"12","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","SF 49ers D/ST","+18000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"13","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Kenneth Gainwell","+19000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"14","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Jauan Jennings","+20000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"15","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Boston Scott","+20000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"16","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Zach Pascal","+25000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"17","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Quez Watkins","+25000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"18","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Brock Purdy","+25000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"19","PHI Eagles","SF 49ers","Score 3 or More Touchdowns","Jack Stoll","+25000","To Score 3 Or More",NA,NA,"PHI Eagles - SF 49ers"
"20","PHI Eagles","SF 49ers","Overtime","Yes","+1100",NA,NA,NA,"PHI Eagles - SF 49ers"
"21","PHI Eagles","SF 49ers","Overtime","No","-6000",NA,NA,NA,"PHI Eagles - SF 49ers"
"22","PHI Eagles","SF 49ers","Each Team to Score 1+ Touchdown in Each Half  & Each Team to Score 1+ Field Goal in Each Half","Yes","+1800",NA,NA,NA,"PHI Eagles - SF 49ers"
"23","PHI Eagles","SF 49ers","Race to 12 Points - 1st Quarter","SF 49ers","+1000",NA,NA,NA,"PHI Eagles - SF 49ers"
"24","PHI Eagles","SF 49ers","Race to 12 Points - 1st Quarter","Neither","-800",NA,NA,NA,"PHI Eagles - SF 49ers"
"25","PHI Eagles","SF 49ers","Race to 12 Points - 1st Quarter","PHI Eagles","+700",NA,NA,NA,"PHI Eagles - SF 49ers"
"26","PHI Eagles","SF 49ers","SF 49ers Total Points Bands","21-30","+155",NA,NA,NA,"PHI Eagles - SF 49ers"
"27","PHI Eagles","SF 49ers","SF 49ers Total Points Bands","11-20","+170",NA,NA,NA,"PHI Eagles - SF 49ers"
"28","PHI Eagles","SF 49ers","SF 49ers Total Points Bands","31-40","+500",NA,NA,NA,"PHI Eagles - SF 49ers"
"29","PHI Eagles","SF 49ers","SF 49ers Total Points Bands","0-10","+650",NA,NA,NA,"PHI Eagles - SF 49ers"
"30","PHI Eagles","SF 49ers","SF 49ers Total Points Bands","41-50","+2200",NA,NA,NA,"PHI Eagles - SF 49ers"
"31","PHI Eagles","SF 49ers","SF 49ers Total Points Bands","51+","+7500",NA,NA,NA,"PHI Eagles - SF 49ers"
"32","PHI Eagles","SF 49ers","SF 49ers Win Every Quarter","Yes","+2200",NA,NA,NA,"PHI Eagles - SF 49ers"
"33","PHI Eagles","SF 49ers","Highest Scoring Quarter","4th Quarter","+180",NA,NA,NA,"PHI Eagles - SF 49ers"
"34","PHI Eagles","SF 49ers","Highest Scoring Quarter","2nd Quarter","+190",NA,NA,NA,"PHI Eagles - SF 49ers"
"35","PHI Eagles","SF 49ers","Highest Scoring Quarter","3rd Quarter","+600",NA,NA,NA,"PHI Eagles - SF 49ers"
"36","PHI Eagles","SF 49ers","Highest Scoring Quarter","1st Quarter","+750",NA,NA,NA,"PHI Eagles - SF 49ers"
"37","PHI Eagles","SF 49ers","Highest Scoring Quarter","Tie","+850",NA,NA,NA,"PHI Eagles - SF 49ers"
"38","PHI Eagles","SF 49ers","Deebo Samuel Receiving Yards","Over","-115",NA,"48.5",NA,"PHI Eagles - SF 49ers"
"39","PHI Eagles","SF 49ers","Deebo Samuel Receiving Yards","Under","-115",NA,"48.5",NA,"PHI Eagles - SF 49ers"
"40","PHI Eagles","SF 49ers","PHI Eagles to Win Both Halves","Yes","+295",NA,NA,NA,"PHI Eagles - SF 49ers"
"41","PHI Eagles","SF 49ers","PHI Eagles to Win Both Halves","No","-425",NA,NA,NA,"PHI Eagles - SF 49ers"
"42","PHI Eagles","SF 49ers","Total Points Odd/Even","Odd","-125",NA,NA,NA,"PHI Eagles - SF 49ers"
"43","PHI Eagles","SF 49ers","Total Points Odd/Even","Even","+105",NA,NA,NA,"PHI Eagles - SF 49ers"
"44","PHI Eagles","SF 49ers","Dallas Goedert Longest Reception","Over","-125",NA,"18.5",NA,"PHI Eagles - SF 49ers"
"45","PHI Eagles","SF 49ers","Dallas Goedert Longest Reception","Under","-105",NA,"18.5",NA,"PHI Eagles - SF 49ers"
"46","PHI Eagles","SF 49ers","Team to Lead After Every Quarter","Neither Team","-160",NA,NA,NA,"PHI Eagles - SF 49ers"
"47","PHI Eagles","SF 49ers","Team to Lead After Every Quarter","PHI Eagles","+265",NA,NA,NA,"PHI Eagles - SF 49ers"
"48","PHI Eagles","SF 49ers","Team to Lead After Every Quarter","SF 49ers","+425",NA,NA,NA,"PHI Eagles - SF 49ers"
"49","PHI Eagles","SF 49ers","Fresh From The Field","C. McCaffrey 75+ Rush Yards, D. Samuel 50+ Rec Yards","+280",NA,NA,NA,"PHI Eagles - SF 49ers"
"50","PHI Eagles","SF 49ers","Fresh From The Field","J. Hurts 50+ Rush Yards, D. Goedert 1+ Rec TD","+450",NA,NA,NA,"PHI Eagles - SF 49ers"
"51","PHI Eagles","SF 49ers","Moneyline 2nd Quarter","SF 49ers","+105",NA,NA,TRUE,"PHI Eagles - SF 49ers"
"52","PHI Eagles","SF 49ers","Moneyline 2nd Quarter","PHI Eagles","-125",NA,NA,TRUE,"PHI Eagles - SF 49ers"
"53","PHI Eagles","SF 49ers","To Score in Both Halves","Christian McCaffrey","+850","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"54","PHI Eagles","SF 49ers","To Score in Both Halves","Jalen Hurts","+1200","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"55","PHI Eagles","SF 49ers","To Score in Both Halves","Miles Sanders","+1300","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"56","PHI Eagles","SF 49ers","To Score in Both Halves","A.J. Brown","+1500","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"57","PHI Eagles","SF 49ers","To Score in Both Halves","Deebo Samuel","+1900","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"58","PHI Eagles","SF 49ers","To Score in Both Halves","DeVonta Smith","+2200","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"59","PHI Eagles","SF 49ers","To Score in Both Halves","George Kittle","+2200","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"60","PHI Eagles","SF 49ers","To Score in Both Halves","Dallas Goedert","+2200","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"61","PHI Eagles","SF 49ers","To Score in Both Halves","Brandon Aiyuk","+2800","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"62","PHI Eagles","SF 49ers","To Score in Both Halves","Elijah Mitchell","+4500","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"63","PHI Eagles","SF 49ers","To Score in Both Halves","PHI Eagles D/ST","+5000","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"64","PHI Eagles","SF 49ers","To Score in Both Halves","SF 49ers D/ST","+5500","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"65","PHI Eagles","SF 49ers","To Score in Both Halves","Kenneth Gainwell","+6000","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
"66","PHI Eagles","SF 49ers","To Score in Both Halves","Jauan Jennings","+6000","Anytime Scorer",NA,NA,"PHI Eagles - SF 49ers"
