"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","SF 49ers","ARI Cardinals","Total Touchdowns","Over","4.5","+100",NA,NA,"SF 49ers - ARI Cardinals"
"2","SF 49ers","ARI Cardinals","Total Touchdowns","Under","4.5","-130",NA,NA,"SF 49ers - ARI Cardinals"
"3","SF 49ers","ARI Cardinals","2nd Half (3 Way)","ARI Cardinals",NA,"+380",NA,NA,"SF 49ers - ARI Cardinals"
"4","SF 49ers","ARI Cardinals","2nd Half (3 Way)","Draw",NA,"+1300",NA,NA,"SF 49ers - ARI Cardinals"
"5","SF 49ers","ARI Cardinals","2nd Half (3 Way)","SF 49ers",NA,"-330",NA,NA,"SF 49ers - ARI Cardinals"
"6","SF 49ers","ARI Cardinals","Successful 2 Point Conversion","Yes",NA,"+425",NA,NA,"SF 49ers - ARI Cardinals"
"7","SF 49ers","ARI Cardinals","Successful 2 Point Conversion","No",NA,"-600",NA,NA,"SF 49ers - ARI Cardinals"
"8","SF 49ers","ARI Cardinals","Total 4th Quarter","Over","9.5","-135",NA,TRUE,"SF 49ers - ARI Cardinals"
"9","SF 49ers","ARI Cardinals","Total 4th Quarter","Under","9.5","+115",NA,TRUE,"SF 49ers - ARI Cardinals"
"10","SF 49ers","ARI Cardinals","Team with Highest Scoring Quarter","ARI Cardinals",NA,"+370",NA,NA,"SF 49ers - ARI Cardinals"
"11","SF 49ers","ARI Cardinals","Team with Highest Scoring Quarter","Tie",NA,"+500",NA,NA,"SF 49ers - ARI Cardinals"
"12","SF 49ers","ARI Cardinals","Team with Highest Scoring Quarter","SF 49ers",NA,"-425",NA,NA,"SF 49ers - ARI Cardinals"
"13","SF 49ers","ARI Cardinals","1st Touchdown - on or after 11:00 Elapsed","Yes",NA,"-115",NA,NA,"SF 49ers - ARI Cardinals"
"14","SF 49ers","ARI Cardinals","1st Touchdown - on or after 11:00 Elapsed","No",NA,"-115",NA,NA,"SF 49ers - ARI Cardinals"
"15","SF 49ers","ARI Cardinals","1st Touchdown","ARI Cardinals",NA,"+310",NA,NA,"SF 49ers - ARI Cardinals"
"16","SF 49ers","ARI Cardinals","1st Touchdown","No TD",NA,"+3500",NA,NA,"SF 49ers - ARI Cardinals"
"17","SF 49ers","ARI Cardinals","1st Touchdown","SF 49ers",NA,"-390",NA,NA,"SF 49ers - ARI Cardinals"
"18","SF 49ers","ARI Cardinals","ARI Cardinals Win with Shutout","Yes",NA,"+3500",NA,NA,"SF 49ers - ARI Cardinals"
"19","SF 49ers","ARI Cardinals","Each Team to Score 1 Touchdown in Each Half","Yes",NA,"+380",NA,NA,"SF 49ers - ARI Cardinals"
"20","SF 49ers","ARI Cardinals","Each Team to Score 1 Touchdown in Each Half","No",NA,"-600",NA,NA,"SF 49ers - ARI Cardinals"
"21","SF 49ers","ARI Cardinals","Both Teams to Score in Every Quarter","Yes",NA,"+1600",NA,NA,"SF 49ers - ARI Cardinals"
"22","SF 49ers","ARI Cardinals","Total 3rd Quarter","Over","7.5","+110",NA,TRUE,"SF 49ers - ARI Cardinals"
"23","SF 49ers","ARI Cardinals","Total 3rd Quarter","Under","7.5","-130",NA,TRUE,"SF 49ers - ARI Cardinals"
