"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","ARI Cardinals","KC Chiefs","KC Chiefs: Team Total Points - 2nd Quarter","Over","9.5","-130",NA,NA,"ARI Cardinals - KC Chiefs"
"2","ARI Cardinals","KC Chiefs","KC Chiefs: Team Total Points - 2nd Quarter","Under","9.5","+100",NA,NA,"ARI Cardinals - KC Chiefs"
"3","ARI Cardinals","KC Chiefs","Total 1st Quarter","Over","13.5","-165",NA,TRUE,"ARI Cardinals - KC Chiefs"
"4","ARI Cardinals","KC Chiefs","Total 1st Quarter","Under","13.5","+135",NA,TRUE,"ARI Cardinals - KC Chiefs"
"5","ARI Cardinals","KC Chiefs","JuJu Smith-Schuster Receiving Yards","Over","53.5","-115",NA,NA,"ARI Cardinals - KC Chiefs"
"6","ARI Cardinals","KC Chiefs","JuJu Smith-Schuster Receiving Yards","Under","53.5","-115",NA,NA,"ARI Cardinals - KC Chiefs"
"7","ARI Cardinals","KC Chiefs","Isiah Pacheco Rushing Yards","Over","10.5","-120",NA,NA,"ARI Cardinals - KC Chiefs"
"8","ARI Cardinals","KC Chiefs","Isiah Pacheco Rushing Yards","Under","10.5","-110",NA,NA,"ARI Cardinals - KC Chiefs"
"9","ARI Cardinals","KC Chiefs","Travis Kelce Touchdowns Scored","Over","1.5","+110",NA,NA,"ARI Cardinals - KC Chiefs"
"10","ARI Cardinals","KC Chiefs","Travis Kelce Touchdowns Scored","Under","1.5","-145",NA,NA,"ARI Cardinals - KC Chiefs"
"11","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","KC Chiefs","-12.5","+340",NA,NA,"ARI Cardinals - KC Chiefs"
"12","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","ARI Cardinals","+12.5","-450",NA,NA,"ARI Cardinals - KC Chiefs"
"13","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","KC Chiefs","-9.5","+200",NA,NA,"ARI Cardinals - KC Chiefs"
"14","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","ARI Cardinals","+9.5","-250",NA,NA,"ARI Cardinals - KC Chiefs"
"15","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","KC Chiefs","-6.5","-175",NA,NA,"ARI Cardinals - KC Chiefs"
"16","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","ARI Cardinals","+6.5","+140",NA,NA,"ARI Cardinals - KC Chiefs"
"17","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","KC Chiefs","-3.5","-335",NA,NA,"ARI Cardinals - KC Chiefs"
"18","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","ARI Cardinals","+3.5","+260",NA,NA,"ARI Cardinals - KC Chiefs"
"19","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","KC Chiefs","+2.5","-12500",NA,NA,"ARI Cardinals - KC Chiefs"
"20","ARI Cardinals","KC Chiefs","Spread Alternate - 1st Quarter","ARI Cardinals","-2.5","+2000",NA,NA,"ARI Cardinals - KC Chiefs"
"21","ARI Cardinals","KC Chiefs","Travis Kelce Receiving Touchdowns","Over","1.5","+110",NA,NA,"ARI Cardinals - KC Chiefs"
"22","ARI Cardinals","KC Chiefs","Travis Kelce Receiving Touchdowns","Under","1.5","-145",NA,NA,"ARI Cardinals - KC Chiefs"
"23","ARI Cardinals","KC Chiefs","2nd KC Chiefs Drive Result Grouped","Offensive Score",NA,"-160",NA,NA,"ARI Cardinals - KC Chiefs"
"24","ARI Cardinals","KC Chiefs","2nd KC Chiefs Drive Result Grouped","No Offensive Score",NA,"+115",NA,NA,"ARI Cardinals - KC Chiefs"
"25","ARI Cardinals","KC Chiefs","Moneyline 1st Half","KC Chiefs",NA,"-775",NA,TRUE,"ARI Cardinals - KC Chiefs"
"26","ARI Cardinals","KC Chiefs","Moneyline 1st Half","ARI Cardinals",NA,"+520",NA,TRUE,"ARI Cardinals - KC Chiefs"
"27","ARI Cardinals","KC Chiefs","Overtime","Yes",NA,"+1700",NA,NA,"ARI Cardinals - KC Chiefs"
"28","ARI Cardinals","KC Chiefs","Overtime","No",NA,"-5000",NA,NA,"ARI Cardinals - KC Chiefs"
"29","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","James Conner",NA,"+550",NA,NA,"ARI Cardinals - KC Chiefs"
"30","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Travis Kelce",NA,"+600",NA,NA,"ARI Cardinals - KC Chiefs"
"31","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Clyde Edwards-Helaire",NA,"+750",NA,NA,"ARI Cardinals - KC Chiefs"
"32","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Marquise Brown",NA,"+900",NA,NA,"ARI Cardinals - KC Chiefs"
"33","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","JuJu Smith-Schuster",NA,"+900",NA,NA,"ARI Cardinals - KC Chiefs"
"34","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Kyler Murray",NA,"+950",NA,NA,"ARI Cardinals - KC Chiefs"
"35","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Zach Ertz",NA,"+1300",NA,NA,"ARI Cardinals - KC Chiefs"
"36","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Marquez Valdes-Scantling",NA,"+1300",NA,NA,"ARI Cardinals - KC Chiefs"
"37","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Andy Isabella",NA,"+1300",NA,NA,"ARI Cardinals - KC Chiefs"
"38","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Greg Dortch",NA,"+1300",NA,NA,"ARI Cardinals - KC Chiefs"
"39","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","A.J. Green (ARI)",NA,"+1500",NA,NA,"ARI Cardinals - KC Chiefs"
"40","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Jerick McKinnon",NA,"+1600",NA,NA,"ARI Cardinals - KC Chiefs"
"41","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Skyy Moore",NA,"+1700",NA,NA,"ARI Cardinals - KC Chiefs"
"42","ARI Cardinals","KC Chiefs","2nd Touchdown Scorer","Mecole Hardman",NA,"+1800",NA,NA,"ARI Cardinals - KC Chiefs"
