"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","KC Chiefs","JAX Jaguars","Total 2nd Quarter","Over","15.5","-115",NA,TRUE,"KC Chiefs - JAX Jaguars"
"2","KC Chiefs","JAX Jaguars","Total 2nd Quarter","Under","15.5","-105",NA,TRUE,"KC Chiefs - JAX Jaguars"
"3","KC Chiefs","JAX Jaguars","KC Chiefs 1st to Score / Moneyline","Yes",NA,"-130",NA,NA,"KC Chiefs - JAX Jaguars"
"4","KC Chiefs","JAX Jaguars","KC Chiefs 1st to Score / Moneyline","No",NA,"+105",NA,NA,"KC Chiefs - JAX Jaguars"
"5","KC Chiefs","JAX Jaguars","Both Teams to Score 25+ Points","Yes",NA,"+265",NA,NA,"KC Chiefs - JAX Jaguars"
"6","KC Chiefs","JAX Jaguars","Both Teams to Score 25+ Points","No",NA,"-390",NA,NA,"KC Chiefs - JAX Jaguars"
"7","KC Chiefs","JAX Jaguars","KC Chiefs Win with Shutout - 1st Half","Yes",NA,"+900",NA,NA,"KC Chiefs - JAX Jaguars"
"8","KC Chiefs","JAX Jaguars","KC Chiefs Win with Shutout - 1st Half","No",NA,"-2000",NA,NA,"KC Chiefs - JAX Jaguars"
"9","KC Chiefs","JAX Jaguars","1st Quarter (3 Way)","JAX Jaguars",NA,"+285",NA,NA,"KC Chiefs - JAX Jaguars"
"10","KC Chiefs","JAX Jaguars","1st Quarter (3 Way)","Draw",NA,"+390",NA,NA,"KC Chiefs - JAX Jaguars"
"11","KC Chiefs","JAX Jaguars","1st Quarter (3 Way)","KC Chiefs",NA,"-140",NA,NA,"KC Chiefs - JAX Jaguars"
"12","KC Chiefs","JAX Jaguars","JAX Jaguars Total Points Bands","11-20",NA,"+160",NA,NA,"KC Chiefs - JAX Jaguars"
"13","KC Chiefs","JAX Jaguars","JAX Jaguars Total Points Bands","21-30",NA,"+165",NA,NA,"KC Chiefs - JAX Jaguars"
"14","KC Chiefs","JAX Jaguars","JAX Jaguars Total Points Bands","0-10",NA,"+500",NA,NA,"KC Chiefs - JAX Jaguars"
"15","KC Chiefs","JAX Jaguars","JAX Jaguars Total Points Bands","31-40",NA,"+550",NA,NA,"KC Chiefs - JAX Jaguars"
"16","KC Chiefs","JAX Jaguars","JAX Jaguars Total Points Bands","41-50",NA,"+2800",NA,NA,"KC Chiefs - JAX Jaguars"
"17","KC Chiefs","JAX Jaguars","JAX Jaguars Total Points Bands","51+",NA,"+9000",NA,NA,"KC Chiefs - JAX Jaguars"
"18","KC Chiefs","JAX Jaguars","Both Teams to Score 35+ Points","Yes",NA,"+1400",NA,NA,"KC Chiefs - JAX Jaguars"
"19","KC Chiefs","JAX Jaguars","Spread 1st Quarter","JAX Jaguars","+3.5","-130",NA,TRUE,"KC Chiefs - JAX Jaguars"
"20","KC Chiefs","JAX Jaguars","Spread 1st Quarter","KC Chiefs","-3.5","+110",NA,TRUE,"KC Chiefs - JAX Jaguars"
"21","KC Chiefs","JAX Jaguars","Each Team to Score 1+ Touchdown in Each Half  & Each Team to Score 1+ Field Goal in Each Half","Yes",NA,"+1600",NA,NA,"KC Chiefs - JAX Jaguars"
"22","KC Chiefs","JAX Jaguars","Each Team to Score 1+ Touchdown in Each Half  & Each Team to Score 1+ Field Goal in Each Half","No",NA,"-20000",NA,NA,"KC Chiefs - JAX Jaguars"
"23","KC Chiefs","JAX Jaguars","1st to Score","JAX Jaguars",NA,"+155",NA,TRUE,"KC Chiefs - JAX Jaguars"
"24","KC Chiefs","JAX Jaguars","1st to Score","KC Chiefs",NA,"-190",NA,TRUE,"KC Chiefs - JAX Jaguars"
"25","KC Chiefs","JAX Jaguars","Any Quarter to End Scoreless","Yes",NA,"+450",NA,NA,"KC Chiefs - JAX Jaguars"
"26","KC Chiefs","JAX Jaguars","Any Quarter to End Scoreless","No",NA,"-800",NA,NA,"KC Chiefs - JAX Jaguars"
"27","KC Chiefs","JAX Jaguars","JAX Jaguars to Score First and Lose","Yes",NA,"+265",NA,NA,"KC Chiefs - JAX Jaguars"
"28","KC Chiefs","JAX Jaguars","JAX Jaguars to Score First and Lose","No",NA,"-380",NA,NA,"KC Chiefs - JAX Jaguars"
"29","KC Chiefs","JAX Jaguars","JAX Jaguars to Score in Every Quarter","Yes",NA,"+320",NA,NA,"KC Chiefs - JAX Jaguars"
"30","KC Chiefs","JAX Jaguars","JAX Jaguars to Score in Every Quarter","No",NA,"-450",NA,NA,"KC Chiefs - JAX Jaguars"
"31","KC Chiefs","JAX Jaguars","Total Points Odd/Even - 1st Quarter","Even",NA,"-115",NA,NA,"KC Chiefs - JAX Jaguars"
"32","KC Chiefs","JAX Jaguars","Total Points Odd/Even - 1st Quarter","Odd",NA,"-105",NA,NA,"KC Chiefs - JAX Jaguars"
"33","KC Chiefs","JAX Jaguars","Race to 25 Points - 2nd Half","JAX Jaguars",NA,"+2800",NA,NA,"KC Chiefs - JAX Jaguars"
"34","KC Chiefs","JAX Jaguars","Race to 25 Points - 2nd Half","Neither",NA,"-1000",NA,NA,"KC Chiefs - JAX Jaguars"
"35","KC Chiefs","JAX Jaguars","Race to 25 Points - 2nd Half","KC Chiefs",NA,"+850",NA,NA,"KC Chiefs - JAX Jaguars"
"36","KC Chiefs","JAX Jaguars","Lowest Scoring Quarter","1st Quarter",NA,"+170",NA,NA,"KC Chiefs - JAX Jaguars"
"37","KC Chiefs","JAX Jaguars","Lowest Scoring Quarter","3rd Quarter",NA,"+230",NA,NA,"KC Chiefs - JAX Jaguars"
"38","KC Chiefs","JAX Jaguars","Lowest Scoring Quarter","Tie",NA,"+425",NA,NA,"KC Chiefs - JAX Jaguars"
"39","KC Chiefs","JAX Jaguars","Lowest Scoring Quarter","4th Quarter",NA,"+500",NA,NA,"KC Chiefs - JAX Jaguars"
"40","KC Chiefs","JAX Jaguars","Lowest Scoring Quarter","2nd Quarter",NA,"+700",NA,NA,"KC Chiefs - JAX Jaguars"
"41","KC Chiefs","JAX Jaguars","Both Teams to Score - 4th Quarter","Yes",NA,"-210",NA,NA,"KC Chiefs - JAX Jaguars"
"42","KC Chiefs","JAX Jaguars","Both Teams to Score - 4th Quarter","No",NA,"+165",NA,NA,"KC Chiefs - JAX Jaguars"
"43","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 7:0 JAX Jaguars",NA,"+260",NA,NA,"KC Chiefs - JAX Jaguars"
"44","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 0:0 JAX Jaguars",NA,"+310",NA,NA,"KC Chiefs - JAX Jaguars"
"45","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 7:7 JAX Jaguars",NA,"+425",NA,NA,"KC Chiefs - JAX Jaguars"
"46","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 0:7 JAX Jaguars",NA,"+475",NA,NA,"KC Chiefs - JAX Jaguars"
"47","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 7:3 JAX Jaguars",NA,"+475",NA,NA,"KC Chiefs - JAX Jaguars"
"48","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 4:0 JAX Jaguars",NA,"+475",NA,NA,"KC Chiefs - JAX Jaguars"
"49","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 3:0 JAX Jaguars",NA,"+500",NA,NA,"KC Chiefs - JAX Jaguars"
"50","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 0:3 JAX Jaguars",NA,"+500",NA,NA,"KC Chiefs - JAX Jaguars"
"51","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 4:7 JAX Jaguars",NA,"+600",NA,NA,"KC Chiefs - JAX Jaguars"
"52","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 4:3 JAX Jaguars",NA,"+800",NA,NA,"KC Chiefs - JAX Jaguars"
"53","KC Chiefs","JAX Jaguars","DK Squares - Any Quarter","KC Chiefs 3:7 JAX Jaguars",NA,"+800",NA,NA,"KC Chiefs - JAX Jaguars"
