"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","PIT Steelers","NE Patriots","NE Patriots: Team Total Points - 2nd Half","Over","10.5","+115",NA,NA,"PIT Steelers - NE Patriots"
"2","PIT Steelers","NE Patriots","NE Patriots: Team Total Points - 2nd Half","Under","10.5","-135",NA,NA,"PIT Steelers - NE Patriots"
"3","PIT Steelers","NE Patriots","Last to Score - 1st Quarter","NE Patriots",NA,"-115",NA,NA,"PIT Steelers - NE Patriots"
"4","PIT Steelers","NE Patriots","Last to Score - 1st Quarter","PIT Steelers",NA,"-115",NA,NA,"PIT Steelers - NE Patriots"
"5","PIT Steelers","NE Patriots","Both Teams to Score 20+ Points","Yes",NA,"+215",NA,NA,"PIT Steelers - NE Patriots"
"6","PIT Steelers","NE Patriots","Both Teams to Score 20+ Points","No",NA,"-300",NA,NA,"PIT Steelers - NE Patriots"
"7","PIT Steelers","NE Patriots","Race to 10 Points - 2nd Half","NE Patriots",NA,"+125",NA,NA,"PIT Steelers - NE Patriots"
"8","PIT Steelers","NE Patriots","Race to 10 Points - 2nd Half","Neither",NA,"+380",NA,NA,"PIT Steelers - NE Patriots"
"9","PIT Steelers","NE Patriots","Race to 10 Points - 2nd Half","PIT Steelers",NA,"+150",NA,NA,"PIT Steelers - NE Patriots"
"10","PIT Steelers","NE Patriots","1st Half (3 Way)","NE Patriots",NA,"+100",NA,NA,"PIT Steelers - NE Patriots"
"11","PIT Steelers","NE Patriots","1st Half (3 Way)","Draw",NA,"+900",NA,NA,"PIT Steelers - NE Patriots"
"12","PIT Steelers","NE Patriots","1st Half (3 Way)","PIT Steelers",NA,"+115",NA,NA,"PIT Steelers - NE Patriots"
"13","PIT Steelers","NE Patriots","Race to 15 Points","NE Patriots",NA,"-110",NA,NA,"PIT Steelers - NE Patriots"
"14","PIT Steelers","NE Patriots","Race to 15 Points","Neither",NA,"+1300",NA,NA,"PIT Steelers - NE Patriots"
"15","PIT Steelers","NE Patriots","Race to 15 Points","PIT Steelers",NA,"+110",NA,NA,"PIT Steelers - NE Patriots"
"16","PIT Steelers","NE Patriots","Anytime Touchdown Scorer","Damien Harris",NA,"+125",NA,NA,"PIT Steelers - NE Patriots"
