"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","MIN Vikings","DAL Cowboys","Spread 2nd Half","DAL Cowboys","-1","-105",NA,TRUE,"MIN Vikings - DAL Cowboys"
"2","MIN Vikings","DAL Cowboys","Spread 2nd Half","MIN Vikings","+1","-115",NA,TRUE,"MIN Vikings - DAL Cowboys"
"3","MIN Vikings","DAL Cowboys","1st Half (3 Way)","DAL Cowboys",NA,"+110",NA,NA,"MIN Vikings - DAL Cowboys"
"4","MIN Vikings","DAL Cowboys","1st Half (3 Way)","Draw",NA,"+950",NA,NA,"MIN Vikings - DAL Cowboys"
"5","MIN Vikings","DAL Cowboys","1st Half (3 Way)","MIN Vikings",NA,"+110",NA,NA,"MIN Vikings - DAL Cowboys"
"6","MIN Vikings","DAL Cowboys","Either Team to Score 3 Unanswered Times","Yes",NA,"-190",NA,NA,"MIN Vikings - DAL Cowboys"
"7","MIN Vikings","DAL Cowboys","Either Team to Score 3 Unanswered Times","No",NA,"+145",NA,NA,"MIN Vikings - DAL Cowboys"
"8","MIN Vikings","DAL Cowboys","Overtime","Yes",NA,"+1100",NA,NA,"MIN Vikings - DAL Cowboys"
"9","MIN Vikings","DAL Cowboys","Overtime","No",NA,"-8000",NA,NA,"MIN Vikings - DAL Cowboys"
"10","MIN Vikings","DAL Cowboys","Total 2nd Half","Over","24","-110",NA,TRUE,"MIN Vikings - DAL Cowboys"
"11","MIN Vikings","DAL Cowboys","Total 2nd Half","Under","24","-110",NA,TRUE,"MIN Vikings - DAL Cowboys"
"12","MIN Vikings","DAL Cowboys","Moneyline 2nd Half","DAL Cowboys",NA,"-130",NA,TRUE,"MIN Vikings - DAL Cowboys"
"13","MIN Vikings","DAL Cowboys","Moneyline 2nd Half","MIN Vikings",NA,"+110",NA,TRUE,"MIN Vikings - DAL Cowboys"
"14","MIN Vikings","DAL Cowboys","Moneyline 3rd Quarter","DAL Cowboys",NA,"-120",NA,TRUE,"MIN Vikings - DAL Cowboys"
"15","MIN Vikings","DAL Cowboys","Moneyline 3rd Quarter","MIN Vikings",NA,"+100",NA,TRUE,"MIN Vikings - DAL Cowboys"
"16","MIN Vikings","DAL Cowboys","Both Teams to Score 20+ Points","Yes",NA,"-105",NA,NA,"MIN Vikings - DAL Cowboys"
"17","MIN Vikings","DAL Cowboys","Both Teams to Score 20+ Points","No",NA,"-125",NA,NA,"MIN Vikings - DAL Cowboys"
"18","MIN Vikings","DAL Cowboys","Race to 25 Points","DAL Cowboys",NA,"+160",NA,NA,"MIN Vikings - DAL Cowboys"
"19","MIN Vikings","DAL Cowboys","Race to 25 Points","Neither",NA,"+215",NA,NA,"MIN Vikings - DAL Cowboys"
"20","MIN Vikings","DAL Cowboys","Race to 25 Points","MIN Vikings",NA,"+180",NA,NA,"MIN Vikings - DAL Cowboys"
"21","MIN Vikings","DAL Cowboys","Longest Field Goal Made","DAL Cowboys",NA,"+100",NA,NA,"MIN Vikings - DAL Cowboys"
"22","MIN Vikings","DAL Cowboys","Longest Field Goal Made","Neither/Tie",NA,"+1800",NA,NA,"MIN Vikings - DAL Cowboys"
"23","MIN Vikings","DAL Cowboys","Longest Field Goal Made","MIN Vikings",NA,"-105",NA,NA,"MIN Vikings - DAL Cowboys"
"24","MIN Vikings","DAL Cowboys","Moneyline 1st Half","DAL Cowboys",NA,"-110",NA,TRUE,"MIN Vikings - DAL Cowboys"
"25","MIN Vikings","DAL Cowboys","Moneyline 1st Half","MIN Vikings",NA,"-110",NA,TRUE,"MIN Vikings - DAL Cowboys"
"26","MIN Vikings","DAL Cowboys","Spread 1st Quarter","DAL Cowboys","-1","+145",NA,TRUE,"MIN Vikings - DAL Cowboys"
"27","MIN Vikings","DAL Cowboys","Spread 1st Quarter","MIN Vikings","+1","-170",NA,TRUE,"MIN Vikings - DAL Cowboys"
"28","MIN Vikings","DAL Cowboys","DAL Cowboys Total Points Bands","21-30",NA,"+140",NA,NA,"MIN Vikings - DAL Cowboys"
"29","MIN Vikings","DAL Cowboys","DAL Cowboys Total Points Bands","11-20",NA,"+225",NA,NA,"MIN Vikings - DAL Cowboys"
"30","MIN Vikings","DAL Cowboys","DAL Cowboys Total Points Bands","31-40",NA,"+330",NA,NA,"MIN Vikings - DAL Cowboys"
"31","MIN Vikings","DAL Cowboys","DAL Cowboys Total Points Bands","0-10",NA,"+1000",NA,NA,"MIN Vikings - DAL Cowboys"
"32","MIN Vikings","DAL Cowboys","DAL Cowboys Total Points Bands","41-50",NA,"+1500",NA,NA,"MIN Vikings - DAL Cowboys"
"33","MIN Vikings","DAL Cowboys","DAL Cowboys Total Points Bands","51+",NA,"+6500",NA,NA,"MIN Vikings - DAL Cowboys"
"34","MIN Vikings","DAL Cowboys","Total Touchdowns - 1st Half","Over","2.5","-110",NA,NA,"MIN Vikings - DAL Cowboys"
"35","MIN Vikings","DAL Cowboys","Total Touchdowns - 1st Half","Under","2.5","-120",NA,NA,"MIN Vikings - DAL Cowboys"
"36","MIN Vikings","DAL Cowboys","Each Team to Score 1+ Touchdown in Each Half  & Each Team to Score 1+ Field Goal in Each Half","Yes",NA,"+1600",NA,NA,"MIN Vikings - DAL Cowboys"
"37","MIN Vikings","DAL Cowboys","Each Team to Score 1+ Touchdown in Each Half  & Each Team to Score 1+ Field Goal in Each Half","No",NA,"-20000",NA,NA,"MIN Vikings - DAL Cowboys"
"38","MIN Vikings","DAL Cowboys","Highest Scoring Half","2nd Half",NA,"-130",NA,NA,"MIN Vikings - DAL Cowboys"
"39","MIN Vikings","DAL Cowboys","Highest Scoring Half","1st Half",NA,"+105",NA,NA,"MIN Vikings - DAL Cowboys"
"40","MIN Vikings","DAL Cowboys","Highest Scoring Half","Draw",NA,"+1600",NA,NA,"MIN Vikings - DAL Cowboys"
"41","MIN Vikings","DAL Cowboys","Total Points Odd/Even - 1st Half","Even",NA,"-115",NA,NA,"MIN Vikings - DAL Cowboys"
"42","MIN Vikings","DAL Cowboys","Total Points Odd/Even - 1st Half","Odd",NA,"-105",NA,NA,"MIN Vikings - DAL Cowboys"
"43","MIN Vikings","DAL Cowboys","Longest Touchdown Yards","Over","38.5","-115",NA,NA,"MIN Vikings - DAL Cowboys"
"44","MIN Vikings","DAL Cowboys","Longest Touchdown Yards","Under","38.5","-115",NA,NA,"MIN Vikings - DAL Cowboys"
"45","MIN Vikings","DAL Cowboys","1st Field Goal Made","DAL Cowboys",NA,"-115",NA,NA,"MIN Vikings - DAL Cowboys"
"46","MIN Vikings","DAL Cowboys","1st Field Goal Made","Neither",NA,"+2800",NA,NA,"MIN Vikings - DAL Cowboys"
"47","MIN Vikings","DAL Cowboys","1st Field Goal Made","MIN Vikings",NA,"+100",NA,NA,"MIN Vikings - DAL Cowboys"
"48","MIN Vikings","DAL Cowboys","Race to 15 Points - 2nd Half","DAL Cowboys",NA,"+215",NA,NA,"MIN Vikings - DAL Cowboys"
"49","MIN Vikings","DAL Cowboys","Race to 15 Points - 2nd Half","Neither",NA,"+110",NA,NA,"MIN Vikings - DAL Cowboys"
"50","MIN Vikings","DAL Cowboys","Race to 15 Points - 2nd Half","MIN Vikings",NA,"+280",NA,NA,"MIN Vikings - DAL Cowboys"
