"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","WAS Commanders","PHI Eagles","Overtime","Yes","+1300",NA,NA,NA,"WAS Commanders - PHI Eagles"
"2","WAS Commanders","PHI Eagles","Highest Scoring Half","1st Half","-125",NA,NA,NA,"WAS Commanders - PHI Eagles"
"3","WAS Commanders","PHI Eagles","Highest Scoring Half","2nd Half","+100",NA,NA,NA,"WAS Commanders - PHI Eagles"
"4","WAS Commanders","PHI Eagles","Highest Scoring Half","Draw","+1600",NA,NA,NA,"WAS Commanders - PHI Eagles"
"5","WAS Commanders","PHI Eagles","Longest Touchdown","PHI Eagles","-130",NA,NA,NA,"WAS Commanders - PHI Eagles"
"6","WAS Commanders","PHI Eagles","Longest Touchdown","Neither","+2800",NA,NA,NA,"WAS Commanders - PHI Eagles"
"7","WAS Commanders","PHI Eagles","Longest Touchdown","WAS Commanders","+110",NA,NA,NA,"WAS Commanders - PHI Eagles"
"8","WAS Commanders","PHI Eagles","Both Teams to Score 20+ Points","Yes","-125",NA,NA,NA,"WAS Commanders - PHI Eagles"
"9","WAS Commanders","PHI Eagles","Both Teams to Score 20+ Points","No","-105",NA,NA,NA,"WAS Commanders - PHI Eagles"
"10","WAS Commanders","PHI Eagles","Total Points Odd/Even - 2nd Half","Odd","-110",NA,NA,NA,"WAS Commanders - PHI Eagles"
"11","WAS Commanders","PHI Eagles","Total Points Odd/Even - 2nd Half","Even","-110",NA,NA,NA,"WAS Commanders - PHI Eagles"
"12","WAS Commanders","PHI Eagles","Each Team to Score 1+ Touchdown and 1+ Field Goal","Yes","-180",NA,NA,NA,"WAS Commanders - PHI Eagles"
"13","WAS Commanders","PHI Eagles","Each Team to Score 1+ Touchdown and 1+ Field Goal","No","+140",NA,NA,NA,"WAS Commanders - PHI Eagles"
"14","WAS Commanders","PHI Eagles","Highest Scoring Quarter","2nd Quarter","+170",NA,NA,NA,"WAS Commanders - PHI Eagles"
"15","WAS Commanders","PHI Eagles","Highest Scoring Quarter","4th Quarter","+215",NA,NA,NA,"WAS Commanders - PHI Eagles"
"16","WAS Commanders","PHI Eagles","Highest Scoring Quarter","3rd Quarter","+600",NA,NA,NA,"WAS Commanders - PHI Eagles"
"17","WAS Commanders","PHI Eagles","Highest Scoring Quarter","1st Quarter","+700",NA,NA,NA,"WAS Commanders - PHI Eagles"
"18","WAS Commanders","PHI Eagles","Highest Scoring Quarter","Tie","+800",NA,NA,NA,"WAS Commanders - PHI Eagles"
"19","WAS Commanders","PHI Eagles","WAS Commanders: Team Total Points","Over","+100","23.5",NA,NA,"WAS Commanders - PHI Eagles"
"20","WAS Commanders","PHI Eagles","WAS Commanders: Team Total Points","Under","-120","23.5",NA,NA,"WAS Commanders - PHI Eagles"
"21","WAS Commanders","PHI Eagles","Race to 12 Points - 1st Quarter","PHI Eagles","+550",NA,NA,NA,"WAS Commanders - PHI Eagles"
"22","WAS Commanders","PHI Eagles","Race to 12 Points - 1st Quarter","Neither","-550",NA,NA,NA,"WAS Commanders - PHI Eagles"
