"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","LV Raiders","LA Chargers","LA Chargers: Team Total Touchdowns","Over","2.5","-145",NA,NA,"LV Raiders - LA Chargers"
"2","LV Raiders","LA Chargers","LA Chargers: Team Total Touchdowns","Under","2.5","+105",NA,NA,"LV Raiders - LA Chargers"
"3","LV Raiders","LA Chargers","Race to 9 Points - 1st Quarter","LA Chargers",NA,"+500",NA,NA,"LV Raiders - LA Chargers"
"4","LV Raiders","LA Chargers","Race to 9 Points - 1st Quarter","Neither",NA,"-295",NA,NA,"LV Raiders - LA Chargers"
"5","LV Raiders","LA Chargers","Race to 9 Points - 1st Quarter","LV Raiders",NA,"+380",NA,NA,"LV Raiders - LA Chargers"
"6","LV Raiders","LA Chargers","Total Points Odd/Even","Odd",NA,"-115",NA,NA,"LV Raiders - LA Chargers"
"7","LV Raiders","LA Chargers","Total Points Odd/Even","Even",NA,"-105",NA,NA,"LV Raiders - LA Chargers"
"8","LV Raiders","LA Chargers","Last to Score","LA Chargers",NA,"-110",NA,NA,"LV Raiders - LA Chargers"
"9","LV Raiders","LA Chargers","Last to Score","LV Raiders",NA,"-120",NA,NA,"LV Raiders - LA Chargers"
"10","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:7 LA Chargers",NA,"+2200",NA,NA,"LV Raiders - LA Chargers"
"11","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:7 LA Chargers",NA,"+2200",NA,NA,"LV Raiders - LA Chargers"
"12","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:4 LA Chargers",NA,"+2200",NA,NA,"LV Raiders - LA Chargers"
"13","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:0 LA Chargers",NA,"+2500",NA,NA,"LV Raiders - LA Chargers"
"14","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:0 LA Chargers",NA,"+2500",NA,NA,"LV Raiders - LA Chargers"
"15","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:0 LA Chargers",NA,"+2800",NA,NA,"LV Raiders - LA Chargers"
"16","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:4 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"17","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:1 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"18","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:3 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"19","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:4 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"20","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:7 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"21","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:7 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"22","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:3 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"23","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:7 LA Chargers",NA,"+3000",NA,NA,"LV Raiders - LA Chargers"
"24","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:0 LA Chargers",NA,"+3500",NA,NA,"LV Raiders - LA Chargers"
"25","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 8:1 LA Chargers",NA,"+3500",NA,NA,"LV Raiders - LA Chargers"
"26","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:6 LA Chargers",NA,"+3500",NA,NA,"LV Raiders - LA Chargers"
"27","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:6 LA Chargers",NA,"+3500",NA,NA,"LV Raiders - LA Chargers"
"28","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:4 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"29","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:0 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"30","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 6:3 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"31","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 8:4 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"32","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:3 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"33","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:3 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"34","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:1 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"35","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:3 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"36","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:8 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"37","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:1 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"38","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:6 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"39","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 6:0 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"40","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:4 LA Chargers",NA,"+4000",NA,NA,"LV Raiders - LA Chargers"
"41","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 8:7 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"42","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:9 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"43","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:8 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"44","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:1 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"45","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:9 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"46","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:6 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"47","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:6 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"48","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 6:4 LA Chargers",NA,"+4500",NA,NA,"LV Raiders - LA Chargers"
"49","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 6:7 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"50","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 8:3 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"51","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:2 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"52","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 2:0 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"53","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 9:6 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"54","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:8 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"55","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 9:7 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"56","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:8 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"57","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:1 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"58","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 6:1 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"59","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 9:3 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"60","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 8:0 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"61","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 9:4 LA Chargers",NA,"+5000",NA,NA,"LV Raiders - LA Chargers"
"62","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:9 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"63","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:9 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"64","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 6:9 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"65","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 7:5 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"66","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:5 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"67","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 6:2 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"68","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 9:0 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"69","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 3:8 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"70","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 2:4 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"71","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 8:5 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"72","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 1:5 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"73","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 5:7 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"74","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 2:7 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"75","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 5:8 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"76","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 0:2 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
"77","LV Raiders","LA Chargers","DK Squares - Final Square","LV Raiders 4:2 LA Chargers",NA,"+5500",NA,NA,"LV Raiders - LA Chargers"
