"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","CAR Panthers","DET Lions","Terrace Marshall Receiving Yards","Over","34.5","-115",NA,NA,"CAR Panthers - DET Lions"
"2","CAR Panthers","DET Lions","Terrace Marshall Receiving Yards","Under","34.5","-115",NA,NA,"CAR Panthers - DET Lions"
"3","CAR Panthers","DET Lions","Terrace Marshall Longest Reception","Over","18.5","-110",NA,NA,"CAR Panthers - DET Lions"
"4","CAR Panthers","DET Lions","Terrace Marshall Longest Reception","Under","18.5","-120",NA,NA,"CAR Panthers - DET Lions"
"5","CAR Panthers","DET Lions","Sam Darnold Interceptions","Over","0.5","-115",NA,NA,"CAR Panthers - DET Lions"
"6","CAR Panthers","DET Lions","Sam Darnold Interceptions","Under","0.5","-115",NA,NA,"CAR Panthers - DET Lions"
"7","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Jamaal Williams",NA,"+105","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"8","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Amon-Ra St. Brown",NA,"+115","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"9","CAR Panthers","DET Lions","Anytime Touchdown Scorer","D'Onta Foreman",NA,"+115","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"10","CAR Panthers","DET Lions","Anytime Touchdown Scorer","D'Andre Swift",NA,"+135","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"11","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Chuba Hubbard",NA,"+175","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"12","CAR Panthers","DET Lions","Anytime Touchdown Scorer","D.J. Moore",NA,"+185","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"13","CAR Panthers","DET Lions","Anytime Touchdown Scorer","DJ Chark Jr.",NA,"+255","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"14","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Terrace Marshall",NA,"+330","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"15","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Sam Darnold",NA,"+400","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"16","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Tommy Tremble",NA,"+400","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"17","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Shi Smith",NA,"+425","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"18","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Jameson Williams",NA,"+500","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"19","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Josh Reynolds",NA,"+500","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"20","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Laviska Shenault Jr.",NA,"+500","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"21","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Justin Jackson",NA,"+500","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"22","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Ian Thomas",NA,"+500","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"23","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Brock Wright",NA,"+500","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"24","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Jared Goff",NA,"+550","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"25","CAR Panthers","DET Lions","Anytime Touchdown Scorer","DET Lions D/ST",NA,"+550","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"26","CAR Panthers","DET Lions","Anytime Touchdown Scorer","CAR Panthers D/ST",NA,"+600","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"27","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Kalif Raymond",NA,"+700","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"28","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Raheem Blackshear",NA,"+850","Anytime Scorer",NA,"CAR Panthers - DET Lions"
"29","CAR Panthers","DET Lions","Anytime Touchdown Scorer","Shane Zylstra",NA,"+950","Anytime Scorer",NA,"CAR Panthers - DET Lions"
