"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","PHI Eagles","DAL Cowboys","DAL Cowboys Total Touchdowns - 1st Half","Over","0.5","-160",NA,NA,"PHI Eagles - DAL Cowboys"
"2","PHI Eagles","DAL Cowboys","DAL Cowboys Total Touchdowns - 1st Half","Under","0.5","+120",NA,NA,"PHI Eagles - DAL Cowboys"
"3","PHI Eagles","DAL Cowboys","Both Teams to Score 35+ Points","Yes",NA,"+2500",NA,NA,"PHI Eagles - DAL Cowboys"
"4","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","DAL Cowboys","+1.5","-115",NA,NA,"PHI Eagles - DAL Cowboys"
"5","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","PHI Eagles","-1.5","-110",NA,NA,"PHI Eagles - DAL Cowboys"
"6","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","DAL Cowboys","+2","-115",NA,NA,"PHI Eagles - DAL Cowboys"
"7","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","PHI Eagles","-2","-110",NA,NA,"PHI Eagles - DAL Cowboys"
"8","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","DAL Cowboys","+2.5","-120",NA,NA,"PHI Eagles - DAL Cowboys"
"9","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","PHI Eagles","-2.5","-110",NA,NA,"PHI Eagles - DAL Cowboys"
"10","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","DAL Cowboys","+3","-145",NA,NA,"PHI Eagles - DAL Cowboys"
"11","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","PHI Eagles","-3","+115",NA,NA,"PHI Eagles - DAL Cowboys"
"12","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","DAL Cowboys","+3.5","-175",NA,NA,"PHI Eagles - DAL Cowboys"
"13","PHI Eagles","DAL Cowboys","Spread Alternate - 1st Quarter","PHI Eagles","-3.5","+135",NA,NA,"PHI Eagles - DAL Cowboys"
"14","PHI Eagles","DAL Cowboys","Spread 1st Quarter","DAL Cowboys","+1","-110",NA,TRUE,"PHI Eagles - DAL Cowboys"
"15","PHI Eagles","DAL Cowboys","Spread 1st Quarter","PHI Eagles","-1","-110",NA,TRUE,"PHI Eagles - DAL Cowboys"
"16","PHI Eagles","DAL Cowboys","Michael Gallup Receiving Yards","Over","39.5","-120",NA,NA,"PHI Eagles - DAL Cowboys"
"17","PHI Eagles","DAL Cowboys","Michael Gallup Receiving Yards","Under","39.5","-110",NA,NA,"PHI Eagles - DAL Cowboys"
"18","PHI Eagles","DAL Cowboys","PHI Eagles to Score in Every Quarter","Yes",NA,"+220",NA,NA,"PHI Eagles - DAL Cowboys"
"19","PHI Eagles","DAL Cowboys","PHI Eagles to Score in Every Quarter","No",NA,"-295",NA,NA,"PHI Eagles - DAL Cowboys"
"20","PHI Eagles","DAL Cowboys","Race to 6 Points - 1st Quarter","DAL Cowboys",NA,"+265",NA,NA,"PHI Eagles - DAL Cowboys"
"21","PHI Eagles","DAL Cowboys","Race to 6 Points - 1st Quarter","Neither",NA,"+185",NA,NA,"PHI Eagles - DAL Cowboys"
"22","PHI Eagles","DAL Cowboys","Race to 6 Points - 1st Quarter","PHI Eagles",NA,"+110",NA,NA,"PHI Eagles - DAL Cowboys"
"23","PHI Eagles","DAL Cowboys","Quez Watkins Receiving Yards","Over","13.5","-120",NA,NA,"PHI Eagles - DAL Cowboys"
"24","PHI Eagles","DAL Cowboys","Quez Watkins Receiving Yards","Under","13.5","-110",NA,NA,"PHI Eagles - DAL Cowboys"
"25","PHI Eagles","DAL Cowboys","1st Drive - Field Goal Made","Yes",NA,"+475",NA,NA,"PHI Eagles - DAL Cowboys"
"26","PHI Eagles","DAL Cowboys","1st Drive - Field Goal Made","No",NA,"-900",NA,NA,"PHI Eagles - DAL Cowboys"
"27","PHI Eagles","DAL Cowboys","PHI Eagles Win with Shutout - 1st Half","Yes",NA,"+700",NA,NA,"PHI Eagles - DAL Cowboys"
"28","PHI Eagles","DAL Cowboys","PHI Eagles Win with Shutout - 1st Half","No",NA,"-1400",NA,NA,"PHI Eagles - DAL Cowboys"
"29","PHI Eagles","DAL Cowboys","Team Total Points Odd/Even","Even",NA,"-110",NA,NA,"PHI Eagles - DAL Cowboys"
"30","PHI Eagles","DAL Cowboys","Team Total Points Odd/Even","Even",NA,"-110",NA,NA,"PHI Eagles - DAL Cowboys"
"31","PHI Eagles","DAL Cowboys","Team Total Points Odd/Even","Odd",NA,"-110",NA,NA,"PHI Eagles - DAL Cowboys"
"32","PHI Eagles","DAL Cowboys","Team Total Points Odd/Even","Odd",NA,"-110",NA,NA,"PHI Eagles - DAL Cowboys"
"33","PHI Eagles","DAL Cowboys","Winning Margin - 1st Quarter","To Win By 1-6",NA,"+380",NA,NA,"PHI Eagles - DAL Cowboys"
"34","PHI Eagles","DAL Cowboys","Winning Margin - 1st Quarter","To Win By 7+",NA,"+600",NA,NA,"PHI Eagles - DAL Cowboys"
"35","PHI Eagles","DAL Cowboys","Winning Margin - 1st Quarter","Tie",NA,"+300",NA,NA,"PHI Eagles - DAL Cowboys"
"36","PHI Eagles","DAL Cowboys","Winning Margin - 1st Quarter","To Win By 1-6",NA,"+320",NA,NA,"PHI Eagles - DAL Cowboys"
"37","PHI Eagles","DAL Cowboys","Winning Margin - 1st Quarter","To Win By 7+",NA,"+220",NA,NA,"PHI Eagles - DAL Cowboys"
"38","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Jalen Hurts",NA,"+115",NA,NA,"PHI Eagles - DAL Cowboys"
"39","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Miles Sanders",NA,"+120",NA,NA,"PHI Eagles - DAL Cowboys"
"40","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","A.J. Brown",NA,"+140",NA,NA,"PHI Eagles - DAL Cowboys"
"41","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Ezekiel Elliott",NA,"+175",NA,NA,"PHI Eagles - DAL Cowboys"
"42","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","DeVonta Smith",NA,"+190",NA,NA,"PHI Eagles - DAL Cowboys"
"43","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Dallas Goedert",NA,"+205",NA,NA,"PHI Eagles - DAL Cowboys"
"44","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","CeeDee Lamb",NA,"+220",NA,NA,"PHI Eagles - DAL Cowboys"
"45","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Tony Pollard",NA,"+250",NA,NA,"PHI Eagles - DAL Cowboys"
"46","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Michael Gallup",NA,"+350",NA,NA,"PHI Eagles - DAL Cowboys"
"47","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Dalton Schultz",NA,"+380",NA,NA,"PHI Eagles - DAL Cowboys"
"48","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Noah Brown",NA,"+425",NA,NA,"PHI Eagles - DAL Cowboys"
"49","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Kenneth Gainwell",NA,"+425",NA,NA,"PHI Eagles - DAL Cowboys"
"50","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Quez Watkins",NA,"+500",NA,NA,"PHI Eagles - DAL Cowboys"
"51","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","PHI Eagles D/ST",NA,"+550",NA,NA,"PHI Eagles - DAL Cowboys"
"52","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Boston Scott",NA,"+650",NA,NA,"PHI Eagles - DAL Cowboys"
"53","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Trey Sermon",NA,"+650",NA,NA,"PHI Eagles - DAL Cowboys"
"54","PHI Eagles","DAL Cowboys","Anytime Touchdown Scorer","Zach Pascal",NA,"+850",NA,NA,"PHI Eagles - DAL Cowboys"
