"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","LV Raiders","ARI Cardinals","LV Raiders Total Touchdowns - 3rd Quarter","Over","0.5","-180",NA,NA,"LV Raiders - ARI Cardinals"
"2","LV Raiders","ARI Cardinals","LV Raiders Total Touchdowns - 3rd Quarter","Under","0.5","+140",NA,NA,"LV Raiders - ARI Cardinals"
"3","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","6",NA,"+310",NA,NA,"LV Raiders - ARI Cardinals"
"4","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","5",NA,"+320",NA,NA,"LV Raiders - ARI Cardinals"
"5","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","7",NA,"+380",NA,NA,"LV Raiders - ARI Cardinals"
"6","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","4",NA,"+475",NA,NA,"LV Raiders - ARI Cardinals"
"7","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","8",NA,"+650",NA,NA,"LV Raiders - ARI Cardinals"
"8","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","3",NA,"+900",NA,NA,"LV Raiders - ARI Cardinals"
"9","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","9",NA,"+1200",NA,NA,"LV Raiders - ARI Cardinals"
"10","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","10+",NA,"+1400",NA,NA,"LV Raiders - ARI Cardinals"
"11","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","2",NA,"+2200",NA,NA,"LV Raiders - ARI Cardinals"
"12","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","1",NA,"+5500",NA,NA,"LV Raiders - ARI Cardinals"
"13","LV Raiders","ARI Cardinals","Total Touchdowns - Exact","0",NA,"+9000",NA,NA,"LV Raiders - ARI Cardinals"
"14","LV Raiders","ARI Cardinals","1st Touchdown Yards","Over","7.5","-115",NA,NA,"LV Raiders - ARI Cardinals"
"15","LV Raiders","ARI Cardinals","1st Touchdown Yards","Under","7.5","-110",NA,NA,"LV Raiders - ARI Cardinals"
"16","LV Raiders","ARI Cardinals","Davante Adams Longest Reception","Over","26.5","-120",NA,NA,"LV Raiders - ARI Cardinals"
"17","LV Raiders","ARI Cardinals","Davante Adams Longest Reception","Under","26.5","-110",NA,NA,"LV Raiders - ARI Cardinals"
"18","LV Raiders","ARI Cardinals","Total Touchdowns - 3rd Quarter","Over","1.5","+150",NA,NA,"LV Raiders - ARI Cardinals"
"19","LV Raiders","ARI Cardinals","Total Touchdowns - 3rd Quarter","Under","1.5","-185",NA,NA,"LV Raiders - ARI Cardinals"
"20","LV Raiders","ARI Cardinals","Offensive Score on 1st Drive of the Game","Yes",NA,"+120",NA,NA,"LV Raiders - ARI Cardinals"
"21","LV Raiders","ARI Cardinals","Offensive Score on 1st Drive of the Game","No",NA,"-150",NA,NA,"LV Raiders - ARI Cardinals"
"22","LV Raiders","ARI Cardinals","Race to 15 Points","ARI Cardinals",NA,"+155",NA,NA,"LV Raiders - ARI Cardinals"
"23","LV Raiders","ARI Cardinals","Race to 15 Points","Neither",NA,"+4000",NA,NA,"LV Raiders - ARI Cardinals"
"24","LV Raiders","ARI Cardinals","Race to 15 Points","LV Raiders",NA,"-185",NA,NA,"LV Raiders - ARI Cardinals"
"25","LV Raiders","ARI Cardinals","LV Raiders to Score First and Lose","Yes",NA,"+500",NA,NA,"LV Raiders - ARI Cardinals"
"26","LV Raiders","ARI Cardinals","LV Raiders to Score First and Lose","No",NA,"-900",NA,NA,"LV Raiders - ARI Cardinals"
"27","LV Raiders","ARI Cardinals","Marquise Brown Receiving Yards","Over","59.5","-115",NA,NA,"LV Raiders - ARI Cardinals"
"28","LV Raiders","ARI Cardinals","Marquise Brown Receiving Yards","Under","59.5","-115",NA,NA,"LV Raiders - ARI Cardinals"
"29","LV Raiders","ARI Cardinals","Total 4th Quarter","Over","14","-115",NA,TRUE,"LV Raiders - ARI Cardinals"
"30","LV Raiders","ARI Cardinals","Total 4th Quarter","Under","14","-105",NA,TRUE,"LV Raiders - ARI Cardinals"
"31","LV Raiders","ARI Cardinals","Race to 20 Points","ARI Cardinals",NA,"+180",NA,NA,"LV Raiders - ARI Cardinals"
"32","LV Raiders","ARI Cardinals","Race to 20 Points","Neither",NA,"+1500",NA,NA,"LV Raiders - ARI Cardinals"
