"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","DEN Broncos","SF 49ers","DEN Broncos Win Every Quarter","Yes","+1900",NA,NA,NA,"DEN Broncos - SF 49ers"
"2","DEN Broncos","SF 49ers","SF 49ers 1st to Score / 1st Quarter Moneyline","Yes","+170",NA,NA,NA,"DEN Broncos - SF 49ers"
"3","DEN Broncos","SF 49ers","SF 49ers 1st to Score / 1st Quarter Moneyline","No","-220",NA,NA,NA,"DEN Broncos - SF 49ers"
"4","DEN Broncos","SF 49ers","SF 49ers: Team Total Touchdowns","Over","-120","2.5",NA,NA,"DEN Broncos - SF 49ers"
"5","DEN Broncos","SF 49ers","SF 49ers: Team Total Touchdowns","Under","-120","2.5",NA,NA,"DEN Broncos - SF 49ers"
"6","DEN Broncos","SF 49ers","RB Player Prop Parlays","J. Wilson Jr.: 100+ Rush Yds and 1+ TDs Scored","+1000",NA,NA,NA,"DEN Broncos - SF 49ers"
"7","DEN Broncos","SF 49ers","RB Player Prop Parlays","M. Gordon: 100+ Rush+Rec Yds and 1+ TDs Scored","+1000",NA,NA,NA,"DEN Broncos - SF 49ers"
"8","DEN Broncos","SF 49ers","RB Player Prop Parlays","J. Williams and J. Wilson Jr.: 100+ Rush+Rec Yds Each","+1200",NA,NA,NA,"DEN Broncos - SF 49ers"
"9","DEN Broncos","SF 49ers","RB Player Prop Parlays","J. Williams: 100+ Rush Yds and 1+ TDs Scored","+1200",NA,NA,NA,"DEN Broncos - SF 49ers"
"10","DEN Broncos","SF 49ers","RB Player Prop Parlays","J. Williams: 150+ Rush+Rec Yds","+1400",NA,NA,NA,"DEN Broncos - SF 49ers"
"11","DEN Broncos","SF 49ers","RB Player Prop Parlays","J. Wilson Jr.: 150+ Rush+Rec Yds","+1800",NA,NA,NA,"DEN Broncos - SF 49ers"
"12","DEN Broncos","SF 49ers","Javonte Williams Rushing Attempts","Over","-105","12.5",NA,NA,"DEN Broncos - SF 49ers"
"13","DEN Broncos","SF 49ers","Javonte Williams Rushing Attempts","Under","-125","12.5",NA,NA,"DEN Broncos - SF 49ers"
"14","DEN Broncos","SF 49ers","1st DEN Broncos Drive Result Grouped","No Offensive Score","-245",NA,NA,NA,"DEN Broncos - SF 49ers"
"15","DEN Broncos","SF 49ers","1st DEN Broncos Drive Result Grouped","Offensive Score","+180",NA,NA,NA,"DEN Broncos - SF 49ers"
"16","DEN Broncos","SF 49ers","Combined TDs and FGs Scoring Yardage","Over 199.5","-115",NA,NA,NA,"DEN Broncos - SF 49ers"
"17","DEN Broncos","SF 49ers","Combined TDs and FGs Scoring Yardage","Under 199.5","-115",NA,NA,NA,"DEN Broncos - SF 49ers"
"18","DEN Broncos","SF 49ers","QB Player Prop Parlays","J. Garoppolo and R. Wilson: 300+ Pass Yds Each","+1500",NA,NA,NA,"DEN Broncos - SF 49ers"
"19","DEN Broncos","SF 49ers","QB Player Prop Parlays","R. Wilson: 350+ Pass Yds and 3+ Pass TDs","+1900",NA,NA,NA,"DEN Broncos - SF 49ers"
"20","DEN Broncos","SF 49ers","QB Player Prop Parlays","J. Garoppolo: 350+ Pass Yds and 3+ Pass TDs","+2200",NA,NA,NA,"DEN Broncos - SF 49ers"
"21","DEN Broncos","SF 49ers","QB Player Prop Parlays","R. Wilson: 350+ Pass Yds and 1+ Rush/Rec TDs Scored","+3000",NA,NA,NA,"DEN Broncos - SF 49ers"
"22","DEN Broncos","SF 49ers","QB Player Prop Parlays","J. Garoppolo: 350+ Pass Yds and 1+ Rush/Rec TDs Scored","+3500",NA,NA,NA,"DEN Broncos - SF 49ers"
"23","DEN Broncos","SF 49ers","DEN Broncos Total Touchdowns - 2nd Quarter","Over","-125","0.5",NA,NA,"DEN Broncos - SF 49ers"
"24","DEN Broncos","SF 49ers","DEN Broncos Total Touchdowns - 2nd Quarter","Under","+100","0.5",NA,NA,"DEN Broncos - SF 49ers"
"25","DEN Broncos","SF 49ers","Total Touchdowns - Exact","5","+295",NA,NA,NA,"DEN Broncos - SF 49ers"
"26","DEN Broncos","SF 49ers","Total Touchdowns - Exact","4","+340",NA,NA,NA,"DEN Broncos - SF 49ers"
"27","DEN Broncos","SF 49ers","Total Touchdowns - Exact","6","+390",NA,NA,NA,"DEN Broncos - SF 49ers"
"28","DEN Broncos","SF 49ers","Total Touchdowns - Exact","3","+500",NA,NA,NA,"DEN Broncos - SF 49ers"
"29","DEN Broncos","SF 49ers","Total Touchdowns - Exact","7","+600",NA,NA,NA,"DEN Broncos - SF 49ers"
"30","DEN Broncos","SF 49ers","Total Touchdowns - Exact","2","+1100",NA,NA,NA,"DEN Broncos - SF 49ers"
"31","DEN Broncos","SF 49ers","Total Touchdowns - Exact","8","+1100",NA,NA,NA,"DEN Broncos - SF 49ers"
"32","DEN Broncos","SF 49ers","Total Touchdowns - Exact","9","+2000",NA,NA,NA,"DEN Broncos - SF 49ers"
"33","DEN Broncos","SF 49ers","Total Touchdowns - Exact","1","+2500",NA,NA,NA,"DEN Broncos - SF 49ers"
"34","DEN Broncos","SF 49ers","Total Touchdowns - Exact","10+","+3500",NA,NA,NA,"DEN Broncos - SF 49ers"
"35","DEN Broncos","SF 49ers","Total Touchdowns - Exact","0","+6500",NA,NA,NA,"DEN Broncos - SF 49ers"
"36","DEN Broncos","SF 49ers","DEN Broncos: Team Total Points - 1st Half","Over","+110","10.5",NA,NA,"DEN Broncos - SF 49ers"
"37","DEN Broncos","SF 49ers","DEN Broncos: Team Total Points - 1st Half","Under","-130","10.5",NA,NA,"DEN Broncos - SF 49ers"
"38","DEN Broncos","SF 49ers","DEN Broncos Win with Shutout - 1st Half","Yes","+1000",NA,NA,NA,"DEN Broncos - SF 49ers"
"39","DEN Broncos","SF 49ers","DEN Broncos Win with Shutout - 1st Half","No","-3500",NA,NA,NA,"DEN Broncos - SF 49ers"
"40","DEN Broncos","SF 49ers","Race to 20 Points - 2nd Half","SF 49ers","+550",NA,NA,NA,"DEN Broncos - SF 49ers"
"41","DEN Broncos","SF 49ers","Race to 20 Points - 2nd Half","Neither","-330",NA,NA,NA,"DEN Broncos - SF 49ers"
"42","DEN Broncos","SF 49ers","Race to 20 Points - 2nd Half","DEN Broncos","+650",NA,NA,NA,"DEN Broncos - SF 49ers"
"43","DEN Broncos","SF 49ers","Most Receiving Yards","Jerry Jeudy","+330",NA,NA,NA,"DEN Broncos - SF 49ers"
"44","DEN Broncos","SF 49ers","Most Receiving Yards","Courtland Sutton","+350",NA,NA,NA,"DEN Broncos - SF 49ers"
"45","DEN Broncos","SF 49ers","Most Receiving Yards","Deebo Samuel","+380",NA,NA,NA,"DEN Broncos - SF 49ers"
"46","DEN Broncos","SF 49ers","Most Receiving Yards","Brandon Aiyuk","+700",NA,NA,NA,"DEN Broncos - SF 49ers"
"47","DEN Broncos","SF 49ers","Most Receiving Yards","George Kittle","+800",NA,NA,NA,"DEN Broncos - SF 49ers"
"48","DEN Broncos","SF 49ers","Most Receiving Yards","KJ Hamler","+1600",NA,NA,NA,"DEN Broncos - SF 49ers"
"49","DEN Broncos","SF 49ers","Most Receiving Yards","Tyrie Cleveland","+1800",NA,NA,NA,"DEN Broncos - SF 49ers"
"50","DEN Broncos","SF 49ers","Most Receiving Yards","Jalen Virgil","+2000",NA,NA,NA,"DEN Broncos - SF 49ers"
"51","DEN Broncos","SF 49ers","Most Receiving Yards","Javonte Williams","+2500",NA,NA,NA,"DEN Broncos - SF 49ers"
"52","DEN Broncos","SF 49ers","Most Receiving Yards","Albert Okwuegbunam","+2500",NA,NA,NA,"DEN Broncos - SF 49ers"
"53","DEN Broncos","SF 49ers","Most Receiving Yards","Jauan Jennings","+3000",NA,NA,NA,"DEN Broncos - SF 49ers"
"54","DEN Broncos","SF 49ers","Most Receiving Yards","Ray-Ray McCloud","+4000",NA,NA,NA,"DEN Broncos - SF 49ers"
"55","DEN Broncos","SF 49ers","Most Receiving Yards","Montrell Washington","+4000",NA,NA,NA,"DEN Broncos - SF 49ers"
"56","DEN Broncos","SF 49ers","Most Receiving Yards","Melvin Gordon III","+5000",NA,NA,NA,"DEN Broncos - SF 49ers"
"57","DEN Broncos","SF 49ers","Most Receiving Yards","Jeff Wilson Jr.","+5000",NA,NA,NA,"DEN Broncos - SF 49ers"
"58","DEN Broncos","SF 49ers","Most Receiving Yards","Danny Gray","+6000",NA,NA,NA,"DEN Broncos - SF 49ers"
"59","DEN Broncos","SF 49ers","Most Receiving Yards","Ross Dwelley","+8000",NA,NA,NA,"DEN Broncos - SF 49ers"
"60","DEN Broncos","SF 49ers","Most Receiving Yards","Jordan Mason","+8000",NA,NA,NA,"DEN Broncos - SF 49ers"
"61","DEN Broncos","SF 49ers","Most Receiving Yards","Charlie Woerner","+8000",NA,NA,NA,"DEN Broncos - SF 49ers"
"62","DEN Broncos","SF 49ers","Most Receiving Yards","Kyle Juszczyk","+8000",NA,NA,NA,"DEN Broncos - SF 49ers"
"63","DEN Broncos","SF 49ers","Most Receiving Yards","Marlon Mack","+8000",NA,NA,NA,"DEN Broncos - SF 49ers"
"64","DEN Broncos","SF 49ers","Most Receiving Yards","Eric Saubert","+9000",NA,NA,NA,"DEN Broncos - SF 49ers"
"65","DEN Broncos","SF 49ers","Most Receiving Yards","Mike Boone","+10000",NA,NA,NA,"DEN Broncos - SF 49ers"
"66","DEN Broncos","SF 49ers","Most Receiving Yards","Eric Tomlinson","+10000",NA,NA,NA,"DEN Broncos - SF 49ers"
"67","DEN Broncos","SF 49ers","Most Receiving Yards","Andrew Beck","+10000",NA,NA,NA,"DEN Broncos - SF 49ers"
"68","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Even","-115",NA,NA,NA,"DEN Broncos - SF 49ers"
"69","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Odd","-110",NA,NA,NA,"DEN Broncos - SF 49ers"
"70","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Even","-110",NA,NA,NA,"DEN Broncos - SF 49ers"
"71","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Odd","-105",NA,NA,NA,"DEN Broncos - SF 49ers"
"72","DEN Broncos","SF 49ers","Both Teams to Score 15+ Points","Yes","-195",NA,NA,NA,"DEN Broncos - SF 49ers"
"73","DEN Broncos","SF 49ers","Both Teams to Score 15+ Points","No","+145",NA,NA,NA,"DEN Broncos - SF 49ers"
"74","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Jeff Wilson Jr.","+110",NA,NA,NA,"DEN Broncos - SF 49ers"
"75","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Deebo Samuel","+120",NA,NA,NA,"DEN Broncos - SF 49ers"
"76","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Javonte Williams","+135",NA,NA,NA,"DEN Broncos - SF 49ers"
"77","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Brandon Aiyuk","+175",NA,NA,NA,"DEN Broncos - SF 49ers"
"78","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Melvin Gordon III","+175",NA,NA,NA,"DEN Broncos - SF 49ers"
"79","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","George Kittle","+180",NA,NA,NA,"DEN Broncos - SF 49ers"
"80","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Jerry Jeudy","+185",NA,NA,NA,"DEN Broncos - SF 49ers"
"81","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Courtland Sutton","+190",NA,NA,NA,"DEN Broncos - SF 49ers"
"82","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Albert Okwuegbunam","+275",NA,NA,NA,"DEN Broncos - SF 49ers"
"83","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","KJ Hamler","+290",NA,NA,NA,"DEN Broncos - SF 49ers"
"84","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Ross Dwelley","+370",NA,NA,NA,"DEN Broncos - SF 49ers"
"85","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Tyrie Cleveland","+370",NA,NA,NA,"DEN Broncos - SF 49ers"
"86","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Jauan Jennings","+425",NA,NA,NA,"DEN Broncos - SF 49ers"
"87","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Jordan Mason","+425",NA,NA,NA,"DEN Broncos - SF 49ers"
"88","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Russell Wilson","+450",NA,NA,NA,"DEN Broncos - SF 49ers"
"89","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","SF 49ers D/ST","+550",NA,NA,NA,"DEN Broncos - SF 49ers"
"90","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","DEN Broncos D/ST","+600",NA,NA,NA,"DEN Broncos - SF 49ers"
"91","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Marlon Mack","+800",NA,NA,NA,"DEN Broncos - SF 49ers"
"92","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Kyle Juszczyk","+800",NA,NA,NA,"DEN Broncos - SF 49ers"
"93","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Ray-Ray McCloud","+800",NA,NA,NA,"DEN Broncos - SF 49ers"
"94","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Montrell Washington","+850",NA,NA,NA,"DEN Broncos - SF 49ers"
"95","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Charlie Woerner","+950",NA,NA,NA,"DEN Broncos - SF 49ers"
"96","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Andrew Beck","+1000",NA,NA,NA,"DEN Broncos - SF 49ers"
"97","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Jalen Virgil","+1000",NA,NA,NA,"DEN Broncos - SF 49ers"
"98","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Kendall Hinton","+1000",NA,NA,NA,"DEN Broncos - SF 49ers"
"99","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Jimmy Garoppolo","+1100",NA,NA,NA,"DEN Broncos - SF 49ers"
"100","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Eric Saubert","+1500",NA,NA,NA,"DEN Broncos - SF 49ers"
"101","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Mike Boone","+2000",NA,NA,NA,"DEN Broncos - SF 49ers"
"102","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Malik Turner","+2000",NA,NA,NA,"DEN Broncos - SF 49ers"
"103","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Eric Tomlinson","+2000",NA,NA,NA,"DEN Broncos - SF 49ers"
"104","DEN Broncos","SF 49ers","Anytime Touchdown Scorer","Danny Gray","+2000",NA,NA,NA,"DEN Broncos - SF 49ers"
"105","DEN Broncos","SF 49ers","Race to 30 Points - 2nd Half","SF 49ers","+4500",NA,NA,NA,"DEN Broncos - SF 49ers"
"106","DEN Broncos","SF 49ers","Race to 30 Points - 2nd Half","DEN Broncos","+4500",NA,NA,NA,"DEN Broncos - SF 49ers"
"107","DEN Broncos","SF 49ers","Deebo Samuel Receiving Yards","Over","-115","56.5",NA,NA,"DEN Broncos - SF 49ers"
"108","DEN Broncos","SF 49ers","Deebo Samuel Receiving Yards","Under","-115","56.5",NA,NA,"DEN Broncos - SF 49ers"
"109","DEN Broncos","SF 49ers","1st DEN Broncos Drive Result","Punt","-160",NA,NA,NA,"DEN Broncos - SF 49ers"
"110","DEN Broncos","SF 49ers","1st DEN Broncos Drive Result","Touchdown","+310",NA,NA,NA,"DEN Broncos - SF 49ers"
"111","DEN Broncos","SF 49ers","1st DEN Broncos Drive Result","Field Goal Attempt","+370",NA,NA,NA,"DEN Broncos - SF 49ers"
"112","DEN Broncos","SF 49ers","1st DEN Broncos Drive Result","Turnover, Turnover on Downs or Safety","+500",NA,NA,NA,"DEN Broncos - SF 49ers"
"113","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-195","19.5",NA,NA,"DEN Broncos - SF 49ers"
"114","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+150","19.5",NA,NA,"DEN Broncos - SF 49ers"
"115","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-165","20",NA,NA,"DEN Broncos - SF 49ers"
"116","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+130","20",NA,NA,"DEN Broncos - SF 49ers"
"117","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-135","20.5",NA,NA,"DEN Broncos - SF 49ers"
"118","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+105","20.5",NA,NA,"DEN Broncos - SF 49ers"
"119","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-130","21",NA,NA,"DEN Broncos - SF 49ers"
"120","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+100","21",NA,NA,"DEN Broncos - SF 49ers"
"121","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-120","21.5",NA,NA,"DEN Broncos - SF 49ers"
"122","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-105","21.5",NA,NA,"DEN Broncos - SF 49ers"
"123","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-115","22",NA,NA,"DEN Broncos - SF 49ers"
"124","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-110","22",NA,NA,"DEN Broncos - SF 49ers"
"125","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","+105","23",NA,NA,"DEN Broncos - SF 49ers"
"126","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-135","23",NA,NA,"DEN Broncos - SF 49ers"
"127","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","+120","23.5",NA,NA,"DEN Broncos - SF 49ers"
"128","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-155","23.5",NA,NA,"DEN Broncos - SF 49ers"
"129","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","+140","24",NA,NA,"DEN Broncos - SF 49ers"
"130","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-185","24",NA,NA,"DEN Broncos - SF 49ers"
"131","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","+155","24.5",NA,NA,"DEN Broncos - SF 49ers"
"132","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-205","24.5",NA,NA,"DEN Broncos - SF 49ers"
"133","DEN Broncos","SF 49ers","Race to 30 Points","SF 49ers","+320",NA,NA,NA,"DEN Broncos - SF 49ers"
"134","DEN Broncos","SF 49ers","Race to 30 Points","Neither","-145",NA,NA,NA,"DEN Broncos - SF 49ers"
"135","DEN Broncos","SF 49ers","Race to 30 Points","DEN Broncos","+350",NA,NA,NA,"DEN Broncos - SF 49ers"
"136","DEN Broncos","SF 49ers","Jeff Wilson Jr. Longest Rush","Over","-110","13.5",NA,NA,"DEN Broncos - SF 49ers"
