"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","PHI Eagles","NY Giants","PHI Eagles Win with Shutout - 1st Half","Yes","+800",NA,NA,NA,"PHI Eagles - NY Giants"
"2","PHI Eagles","NY Giants","PHI Eagles Win with Shutout - 1st Half","No","-1800",NA,NA,NA,"PHI Eagles - NY Giants"
"3","PHI Eagles","NY Giants","Isaiah Hodgins Receiving Yards","Over","-115","45.5",NA,NA,"PHI Eagles - NY Giants"
"4","PHI Eagles","NY Giants","Isaiah Hodgins Receiving Yards","Under","-115","45.5",NA,NA,"PHI Eagles - NY Giants"
"5","PHI Eagles","NY Giants","Jalen Hurts Passing Touchdowns","Over","-145","1.5",NA,NA,"PHI Eagles - NY Giants"
"6","PHI Eagles","NY Giants","Jalen Hurts Passing Touchdowns","Under","+115","1.5",NA,NA,"PHI Eagles - NY Giants"
"7","PHI Eagles","NY Giants","First Scoring Play Type (6 Way)","Away Touchdown","+360",NA,NA,NA,"PHI Eagles - NY Giants"
"8","PHI Eagles","NY Giants","First Scoring Play Type (6 Way)","Away Field Goal","+390",NA,NA,NA,"PHI Eagles - NY Giants"
"9","PHI Eagles","NY Giants","First Scoring Play Type (6 Way)","Away Safety","+7000",NA,NA,NA,"PHI Eagles - NY Giants"
"10","PHI Eagles","NY Giants","First Scoring Play Type (6 Way)","Home Touchdown","+125",NA,NA,NA,"PHI Eagles - NY Giants"
"11","PHI Eagles","NY Giants","First Scoring Play Type (6 Way)","Home Field Goal","+350",NA,NA,NA,"PHI Eagles - NY Giants"
"12","PHI Eagles","NY Giants","First Scoring Play Type (6 Way)","Home Safety","+7500",NA,NA,NA,"PHI Eagles - NY Giants"
"13","PHI Eagles","NY Giants","Lowest Scoring Quarter","1st Quarter","+170",NA,NA,NA,"PHI Eagles - NY Giants"
"14","PHI Eagles","NY Giants","Lowest Scoring Quarter","3rd Quarter","+220",NA,NA,NA,"PHI Eagles - NY Giants"
"15","PHI Eagles","NY Giants","Lowest Scoring Quarter","Tie","+425",NA,NA,NA,"PHI Eagles - NY Giants"
"16","PHI Eagles","NY Giants","Lowest Scoring Quarter","4th Quarter","+500",NA,NA,NA,"PHI Eagles - NY Giants"
"17","PHI Eagles","NY Giants","Lowest Scoring Quarter","2nd Quarter","+750",NA,NA,NA,"PHI Eagles - NY Giants"
"18","PHI Eagles","NY Giants","Winning Margin","To Win By 1-6","+550",NA,NA,NA,"PHI Eagles - NY Giants"
"19","PHI Eagles","NY Giants","Winning Margin","To Win By 7-12","+1100",NA,NA,NA,"PHI Eagles - NY Giants"
"20","PHI Eagles","NY Giants","Winning Margin","To Win By 13-18","+2200",NA,NA,NA,"PHI Eagles - NY Giants"
"21","PHI Eagles","NY Giants","Winning Margin","To Win By 19-24","+4000",NA,NA,NA,"PHI Eagles - NY Giants"
"22","PHI Eagles","NY Giants","Winning Margin","To Win By 25-30","+7500",NA,NA,NA,"PHI Eagles - NY Giants"
"23","PHI Eagles","NY Giants","Winning Margin","To Win By 31-36","+10000",NA,NA,NA,"PHI Eagles - NY Giants"
"24","PHI Eagles","NY Giants","Winning Margin","To Win By 37-42","+11000",NA,NA,NA,"PHI Eagles - NY Giants"
"25","PHI Eagles","NY Giants","Winning Margin","To Win By 43+","+11000",NA,NA,NA,"PHI Eagles - NY Giants"
"26","PHI Eagles","NY Giants","Winning Margin","To Win By 1-6","+320",NA,NA,NA,"PHI Eagles - NY Giants"
"27","PHI Eagles","NY Giants","Winning Margin","To Win By 7-12","+350",NA,NA,NA,"PHI Eagles - NY Giants"
"28","PHI Eagles","NY Giants","Winning Margin","To Win By 13-18","+475",NA,NA,NA,"PHI Eagles - NY Giants"
"29","PHI Eagles","NY Giants","Winning Margin","To Win By 19-24","+700",NA,NA,NA,"PHI Eagles - NY Giants"
"30","PHI Eagles","NY Giants","Winning Margin","To Win By 25-30","+1100",NA,NA,NA,"PHI Eagles - NY Giants"
"31","PHI Eagles","NY Giants","Winning Margin","To Win By 31-36","+1900",NA,NA,NA,"PHI Eagles - NY Giants"
"32","PHI Eagles","NY Giants","Winning Margin","To Win By 37-42","+3500",NA,NA,NA,"PHI Eagles - NY Giants"
"33","PHI Eagles","NY Giants","Winning Margin","To Win By 43+","+5500",NA,NA,NA,"PHI Eagles - NY Giants"
"34","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Jalen Hurts","+380",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"35","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Miles Sanders","+390",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"36","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","A.J. Brown","+400",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"37","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","DeVonta Smith","+650",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"38","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Dallas Goedert","+800",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"39","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Boston Scott","+1400",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"40","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Kenneth Gainwell","+1500",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"41","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","PHI Eagles D/ST","+1900",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"42","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Quez Watkins","+1900",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"43","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Zach Pascal","+3000",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"44","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Trey Sermon","+4000",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"45","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Jack Stoll","+4000",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"46","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","No PHI Eagles Scorer","+5000",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
"47","PHI Eagles","NY Giants","First PHI Eagles Touchdown Scorer","Britain Covey","+5000",NA,"First Scorer",NA,"PHI Eagles - NY Giants"
