"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","WAS Commanders","ATL Falcons","Moneyline 4th Quarter","ATL Falcons","+105",NA,NA,TRUE,"WAS Commanders - ATL Falcons"
"2","WAS Commanders","ATL Falcons","Moneyline 4th Quarter","WAS Commanders","-125",NA,NA,TRUE,"WAS Commanders - ATL Falcons"
"3","WAS Commanders","ATL Falcons","ATL Falcons: Team Total Points","Over","-115","19.5",NA,NA,"WAS Commanders - ATL Falcons"
"4","WAS Commanders","ATL Falcons","ATL Falcons: Team Total Points","Under","-105","19.5",NA,NA,"WAS Commanders - ATL Falcons"
"5","WAS Commanders","ATL Falcons","WAS Commanders: Team Total Points","Over","+100","23.5",NA,NA,"WAS Commanders - ATL Falcons"
"6","WAS Commanders","ATL Falcons","WAS Commanders: Team Total Points","Under","-120","23.5",NA,NA,"WAS Commanders - ATL Falcons"
"7","WAS Commanders","ATL Falcons","Team with Highest Scoring Quarter","ATL Falcons","+140",NA,NA,NA,"WAS Commanders - ATL Falcons"
"8","WAS Commanders","ATL Falcons","Team with Highest Scoring Quarter","Tie","+425",NA,NA,NA,"WAS Commanders - ATL Falcons"
"9","WAS Commanders","ATL Falcons","Team with Highest Scoring Quarter","WAS Commanders","-135",NA,NA,NA,"WAS Commanders - ATL Falcons"
"10","WAS Commanders","ATL Falcons","Both Teams to Score 35+ Points","Yes","+2200",NA,NA,NA,"WAS Commanders - ATL Falcons"
"11","WAS Commanders","ATL Falcons","Moneyline 2nd Half","ATL Falcons","+110",NA,NA,TRUE,"WAS Commanders - ATL Falcons"
"12","WAS Commanders","ATL Falcons","Moneyline 2nd Half","WAS Commanders","-130",NA,NA,TRUE,"WAS Commanders - ATL Falcons"
"13","WAS Commanders","ATL Falcons","ATL Falcons: Team Total Points - 1st Half","Over","-115","9.5",NA,NA,"WAS Commanders - ATL Falcons"
"14","WAS Commanders","ATL Falcons","ATL Falcons: Team Total Points - 1st Half","Under","-105","9.5",NA,NA,"WAS Commanders - ATL Falcons"
"15","WAS Commanders","ATL Falcons","Fresh From The Field","C. Patterson 1+ Rush TD, B. Robinson Jr 1+ Rush TD","+300",NA,NA,NA,"WAS Commanders - ATL Falcons"
"16","WAS Commanders","ATL Falcons","Both Teams to Score 20+ Points","Yes","+180",NA,NA,NA,"WAS Commanders - ATL Falcons"
"17","WAS Commanders","ATL Falcons","Both Teams to Score 20+ Points","No","-250",NA,NA,NA,"WAS Commanders - ATL Falcons"
"18","WAS Commanders","ATL Falcons","Both Teams to Score 25+ Points","Yes","+600",NA,NA,NA,"WAS Commanders - ATL Falcons"
