"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","PHI Eagles","KC Chiefs","Quarter of 1st Game Punt","1st Quarter","-280",NA,NA,NA,"PHI Eagles - KC Chiefs"
"2","PHI Eagles","KC Chiefs","Quarter of 1st Game Punt","2nd Quarter","+250",NA,NA,NA,"PHI Eagles - KC Chiefs"
"3","PHI Eagles","KC Chiefs","Quarter of 1st Game Punt","Overtime","+4000",NA,NA,NA,"PHI Eagles - KC Chiefs"
"4","PHI Eagles","KC Chiefs","Quarter of 1st Game Punt","3rd Quarter","+1800",NA,NA,NA,"PHI Eagles - KC Chiefs"
"5","PHI Eagles","KC Chiefs","Quarter of 1st Game Punt","No Punts","+2000",NA,NA,NA,"PHI Eagles - KC Chiefs"
"6","PHI Eagles","KC Chiefs","Quarter of 1st Game Punt","4th Quarter","+2500",NA,NA,NA,"PHI Eagles - KC Chiefs"
"7","PHI Eagles","KC Chiefs","Will PHI Eagles Score More Points in?","2nd Half +OT","-130",NA,NA,NA,"PHI Eagles - KC Chiefs"
"8","PHI Eagles","KC Chiefs","Will PHI Eagles Score More Points in?","1st Half","+110",NA,NA,NA,"PHI Eagles - KC Chiefs"
"9","PHI Eagles","KC Chiefs","DeVonta Smith Receiving Yards - 1st Half","Over","-115","31.5",NA,NA,"PHI Eagles - KC Chiefs"
"10","PHI Eagles","KC Chiefs","DeVonta Smith Receiving Yards - 1st Half","Under","-115","31.5",NA,NA,"PHI Eagles - KC Chiefs"
"11","PHI Eagles","KC Chiefs","Quez Watkins Receptions","Over","+140","1.5",NA,NA,"PHI Eagles - KC Chiefs"
"12","PHI Eagles","KC Chiefs","Quez Watkins Receptions","Under","-185","1.5",NA,NA,"PHI Eagles - KC Chiefs"
"13","PHI Eagles","KC Chiefs","Quez Watkins Rushing + Receiving Yards","Over","-110","11.5",NA,NA,"PHI Eagles - KC Chiefs"
"14","PHI Eagles","KC Chiefs","Quez Watkins Rushing + Receiving Yards","Under","-120","11.5",NA,NA,"PHI Eagles - KC Chiefs"
"15","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","200-224","+350",NA,NA,NA,"PHI Eagles - KC Chiefs"
"16","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","175-199","+400",NA,NA,NA,"PHI Eagles - KC Chiefs"
"17","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","225-249","+400",NA,NA,NA,"PHI Eagles - KC Chiefs"
"18","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","0-174","+550",NA,NA,NA,"PHI Eagles - KC Chiefs"
"19","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","250-274","+550",NA,NA,NA,"PHI Eagles - KC Chiefs"
"20","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","275-299","+750",NA,NA,NA,"PHI Eagles - KC Chiefs"
"21","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","300-324","+1100",NA,NA,NA,"PHI Eagles - KC Chiefs"
"22","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","325-349","+1800",NA,NA,NA,"PHI Eagles - KC Chiefs"
"23","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","350-374","+2800",NA,NA,NA,"PHI Eagles - KC Chiefs"
"24","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","375-399","+5000",NA,NA,NA,"PHI Eagles - KC Chiefs"
"25","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","400-424","+10000",NA,NA,NA,"PHI Eagles - KC Chiefs"
"26","PHI Eagles","KC Chiefs","Jalen Hurts Exact Pass Yards (Bands)","425+","+15000",NA,NA,NA,"PHI Eagles - KC Chiefs"
"27","PHI Eagles","KC Chiefs","Longest Field Goal Made","KC Chiefs","+100",NA,NA,NA,"PHI Eagles - KC Chiefs"
"28","PHI Eagles","KC Chiefs","Longest Field Goal Made","Neither/Tie","+1400",NA,NA,NA,"PHI Eagles - KC Chiefs"
"29","PHI Eagles","KC Chiefs","Longest Field Goal Made","PHI Eagles","+100",NA,NA,NA,"PHI Eagles - KC Chiefs"
"30","PHI Eagles","KC Chiefs","Most Sacks","PHI Eagles","-125",NA,NA,NA,"PHI Eagles - KC Chiefs"
"31","PHI Eagles","KC Chiefs","Most Sacks","KC Chiefs","+105",NA,NA,NA,"PHI Eagles - KC Chiefs"
"32","PHI Eagles","KC Chiefs","Game to Be Tied Again after 0-0?","Yes","-130",NA,NA,NA,"PHI Eagles - KC Chiefs"
"33","PHI Eagles","KC Chiefs","Game to Be Tied Again after 0-0?","No","+110",NA,NA,NA,"PHI Eagles - KC Chiefs"
"34","PHI Eagles","KC Chiefs","Correct Score","PHI Eagles 27:24 KC Chiefs","+4500",NA,NA,NA,"PHI Eagles - KC Chiefs"
"35","PHI Eagles","KC Chiefs","Correct Score","PHI Eagles 24:27 KC Chiefs","+5000",NA,NA,NA,"PHI Eagles - KC Chiefs"
