"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Odd","-110",NA,NA,NA,"DEN Broncos - SF 49ers"
"2","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Even","-110",NA,NA,NA,"DEN Broncos - SF 49ers"
"3","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Odd","-110",NA,NA,NA,"DEN Broncos - SF 49ers"
"4","DEN Broncos","SF 49ers","Team Total Points Odd/Even - 1st Half","Even","-110",NA,NA,NA,"DEN Broncos - SF 49ers"
"5","DEN Broncos","SF 49ers","1st Score Yards","Over","-115","24.5",NA,NA,"DEN Broncos - SF 49ers"
"6","DEN Broncos","SF 49ers","1st Score Yards","Under","-110","24.5",NA,NA,"DEN Broncos - SF 49ers"
"7","DEN Broncos","SF 49ers","SF 49ers Win Every Quarter","Yes","+1500",NA,NA,NA,"DEN Broncos - SF 49ers"
"8","DEN Broncos","SF 49ers","2nd Half (3 Way)","SF 49ers","-105",NA,NA,NA,"DEN Broncos - SF 49ers"
"9","DEN Broncos","SF 49ers","2nd Half (3 Way)","Draw","+1200",NA,NA,NA,"DEN Broncos - SF 49ers"
"10","DEN Broncos","SF 49ers","2nd Half (3 Way)","DEN Broncos","+115",NA,NA,NA,"DEN Broncos - SF 49ers"
"11","DEN Broncos","SF 49ers","Race to 15 Points","SF 49ers","-115",NA,NA,NA,"DEN Broncos - SF 49ers"
"12","DEN Broncos","SF 49ers","Race to 15 Points","Neither","+2200",NA,NA,NA,"DEN Broncos - SF 49ers"
"13","DEN Broncos","SF 49ers","Race to 15 Points","DEN Broncos","+105",NA,NA,NA,"DEN Broncos - SF 49ers"
"14","DEN Broncos","SF 49ers","Jeff Wilson Jr. Longest Rush","Over","-110","13.5",NA,NA,"DEN Broncos - SF 49ers"
"15","DEN Broncos","SF 49ers","Jeff Wilson Jr. Longest Rush","Under","-120","13.5",NA,NA,"DEN Broncos - SF 49ers"
"16","DEN Broncos","SF 49ers","Each Team to Score 1 Touchdown in Each Half","Yes","+170",NA,NA,NA,"DEN Broncos - SF 49ers"
"17","DEN Broncos","SF 49ers","Each Team to Score 1 Touchdown in Each Half","No","-230",NA,NA,NA,"DEN Broncos - SF 49ers"
"18","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-180","20",NA,NA,"DEN Broncos - SF 49ers"
"19","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+135","20",NA,NA,"DEN Broncos - SF 49ers"
"20","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-140","20.5",NA,NA,"DEN Broncos - SF 49ers"
"21","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+110","20.5",NA,NA,"DEN Broncos - SF 49ers"
"22","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-135","21",NA,NA,"DEN Broncos - SF 49ers"
"23","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+105","21",NA,NA,"DEN Broncos - SF 49ers"
"24","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-130","21.5",NA,NA,"DEN Broncos - SF 49ers"
"25","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","+100","21.5",NA,NA,"DEN Broncos - SF 49ers"
"26","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","-125","22",NA,NA,"DEN Broncos - SF 49ers"
"27","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-105","22",NA,NA,"DEN Broncos - SF 49ers"
"28","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","+100","23",NA,NA,"DEN Broncos - SF 49ers"
"29","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-125","23",NA,NA,"DEN Broncos - SF 49ers"
"30","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","+115","23.5",NA,NA,"DEN Broncos - SF 49ers"
"31","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Under","-145","23.5",NA,NA,"DEN Broncos - SF 49ers"
"32","DEN Broncos","SF 49ers","Total Alternate - 1st Half","Over","+130","24",NA,NA,"DEN Broncos - SF 49ers"
