"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","KC Chiefs","CIN Bengals","Either Team to Score 3 Unanswered Times","Yes","-170",NA,NA,NA,"KC Chiefs - CIN Bengals"
"2","KC Chiefs","CIN Bengals","Either Team to Score 3 Unanswered Times","No","+130",NA,NA,NA,"KC Chiefs - CIN Bengals"
"3","KC Chiefs","CIN Bengals","Most Rushing Yards","Joe Mixon","+100",NA,NA,NA,"KC Chiefs - CIN Bengals"
"4","KC Chiefs","CIN Bengals","Most Rushing Yards","Isiah Pacheco","+180",NA,NA,NA,"KC Chiefs - CIN Bengals"
"5","KC Chiefs","CIN Bengals","Most Rushing Yards","Jerick McKinnon","+500",NA,NA,NA,"KC Chiefs - CIN Bengals"
"6","KC Chiefs","CIN Bengals","Most Rushing Yards","Joe Burrow","+1700",NA,NA,NA,"KC Chiefs - CIN Bengals"
"7","KC Chiefs","CIN Bengals","Most Rushing Yards","Samaje Perine","+1900",NA,NA,NA,"KC Chiefs - CIN Bengals"
"8","KC Chiefs","CIN Bengals","Most Rushing Yards","Kadarius Toney","+10000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"9","KC Chiefs","CIN Bengals","Most Rushing Yards","Ja'Marr Chase","+15000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"10","KC Chiefs","CIN Bengals","Most Rushing Yards","Patrick Mahomes","+15000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"11","KC Chiefs","CIN Bengals","Most Rushing Yards","Chris Evans","+15000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"12","KC Chiefs","CIN Bengals","Most Rushing Yards","Tyler Boyd","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"13","KC Chiefs","CIN Bengals","Most Rushing Yards","Trenton Irwin","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"14","KC Chiefs","CIN Bengals","Most Rushing Yards","Ronald Jones II","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"15","KC Chiefs","CIN Bengals","Most Rushing Yards","Shane Buechele","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"16","KC Chiefs","CIN Bengals","Most Rushing Yards","Justin Watson","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"17","KC Chiefs","CIN Bengals","Most Rushing Yards","Michael Burton","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"18","KC Chiefs","CIN Bengals","Most Rushing Yards","Trayveon Williams","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"19","KC Chiefs","CIN Bengals","Most Rushing Yards","Mecole Hardman","+20000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"20","KC Chiefs","CIN Bengals","Shortest Field Goal Made Yards","Over","-105","27.5",NA,NA,"KC Chiefs - CIN Bengals"
"21","KC Chiefs","CIN Bengals","Shortest Field Goal Made Yards","Under","-125","27.5",NA,NA,"KC Chiefs - CIN Bengals"
"22","KC Chiefs","CIN Bengals","1st to Score","CIN Bengals","-115",NA,NA,TRUE,"KC Chiefs - CIN Bengals"
"23","KC Chiefs","CIN Bengals","1st to Score","KC Chiefs","-115",NA,NA,TRUE,"KC Chiefs - CIN Bengals"
"24","KC Chiefs","CIN Bengals","CIN Bengals Total Sacks","Over 1.5","-130",NA,NA,NA,"KC Chiefs - CIN Bengals"
"25","KC Chiefs","CIN Bengals","CIN Bengals Total Sacks","Under 1.5","+110",NA,NA,NA,"KC Chiefs - CIN Bengals"
"26","KC Chiefs","CIN Bengals","Hayden Hurst Receptions","Over","-180","3.5",NA,NA,"KC Chiefs - CIN Bengals"
"27","KC Chiefs","CIN Bengals","Hayden Hurst Receptions","Under","+145","3.5",NA,NA,"KC Chiefs - CIN Bengals"
"28","KC Chiefs","CIN Bengals","Total Points Odd/Even - 1st Half","Even","-110",NA,NA,NA,"KC Chiefs - CIN Bengals"
"29","KC Chiefs","CIN Bengals","Total Points Odd/Even - 1st Half","Odd","-110",NA,NA,NA,"KC Chiefs - CIN Bengals"
"30","KC Chiefs","CIN Bengals","KC Chiefs: Team Total Touchdowns","Over","-160","2.5",NA,NA,"KC Chiefs - CIN Bengals"
"31","KC Chiefs","CIN Bengals","KC Chiefs: Team Total Touchdowns","Under","+120","2.5",NA,NA,"KC Chiefs - CIN Bengals"
"32","KC Chiefs","CIN Bengals","KC Chiefs 1st to Score / Moneyline","Yes","+180",NA,NA,NA,"KC Chiefs - CIN Bengals"
"33","KC Chiefs","CIN Bengals","KC Chiefs 1st to Score / Moneyline","No","-240",NA,NA,NA,"KC Chiefs - CIN Bengals"
"34","KC Chiefs","CIN Bengals","Both Teams to Score 35+ Points","Yes","+1600",NA,NA,NA,"KC Chiefs - CIN Bengals"
"35","KC Chiefs","CIN Bengals","1st Field Goal Made","CIN Bengals","-110",NA,NA,NA,"KC Chiefs - CIN Bengals"
"36","KC Chiefs","CIN Bengals","1st Field Goal Made","Neither","+2000",NA,NA,NA,"KC Chiefs - CIN Bengals"
"37","KC Chiefs","CIN Bengals","1st Field Goal Made","KC Chiefs","+100",NA,NA,NA,"KC Chiefs - CIN Bengals"
"38","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Joe Mixon","-115",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"39","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Travis Kelce","-110",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"40","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Ja'Marr Chase","+100",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"41","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Jerick McKinnon","+125",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"42","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Isiah Pacheco","+130",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"43","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Tee Higgins","+165",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"44","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Kadarius Toney","+260",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"45","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Hayden Hurst","+260",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"46","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Samaje Perine","+265",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"47","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Joe Burrow","+280",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"48","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","JuJu Smith-Schuster","+295",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"49","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Marquez Valdes-Scantling","+310",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"50","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Mecole Hardman","+320",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"51","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Tyler Boyd","+320",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"52","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Noah Gray","+360",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"53","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Jody Fortson","+475",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"54","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","Patrick Mahomes","+475",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
"55","KC Chiefs","CIN Bengals","Anytime Touchdown Scorer","CIN Bengals D/ST","+500",NA,"Anytime Scorer",NA,"KC Chiefs - CIN Bengals"
