"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","MIN Vikings","DAL Cowboys","DAL Cowboys: Team Total Points - 2nd Half","Over","12.5","-120",NA,NA,"MIN Vikings - DAL Cowboys"
"2","MIN Vikings","DAL Cowboys","DAL Cowboys: Team Total Points - 2nd Half","Under","12.5","+100",NA,NA,"MIN Vikings - DAL Cowboys"
"3","MIN Vikings","DAL Cowboys","Fresh From The Field","J. Jefferson 125+ Rec Yards, C. Lamb 1+ Rec TD",NA,"+500",NA,NA,"MIN Vikings - DAL Cowboys"
"4","MIN Vikings","DAL Cowboys","1st Half Winner / 1st Half Total Points","DAL Cowboys / Over 23.5",NA,"+270",NA,NA,"MIN Vikings - DAL Cowboys"
"5","MIN Vikings","DAL Cowboys","1st Half Winner / 1st Half Total Points","DAL Cowboys / Under 23.5",NA,"+260",NA,NA,"MIN Vikings - DAL Cowboys"
"6","MIN Vikings","DAL Cowboys","1st Half Winner / 1st Half Total Points","MIN Vikings / Over 23.5",NA,"+320",NA,NA,"MIN Vikings - DAL Cowboys"
"7","MIN Vikings","DAL Cowboys","1st Half Winner / 1st Half Total Points","MIN Vikings / Under 23.5",NA,"+300",NA,NA,"MIN Vikings - DAL Cowboys"
"8","MIN Vikings","DAL Cowboys","First Score Method 3-Way","Touchdown",NA,"-180",NA,NA,"MIN Vikings - DAL Cowboys"
"9","MIN Vikings","DAL Cowboys","First Score Method 3-Way","Field Goal",NA,"+130",NA,NA,"MIN Vikings - DAL Cowboys"
"10","MIN Vikings","DAL Cowboys","First Score Method 3-Way","Safety",NA,"+2800",NA,NA,"MIN Vikings - DAL Cowboys"
"11","MIN Vikings","DAL Cowboys","Moneyline 2nd Half","DAL Cowboys",NA,"-120",NA,TRUE,"MIN Vikings - DAL Cowboys"
"12","MIN Vikings","DAL Cowboys","Moneyline 2nd Half","MIN Vikings",NA,"+100",NA,TRUE,"MIN Vikings - DAL Cowboys"
"13","MIN Vikings","DAL Cowboys","Race to 15 Points","DAL Cowboys",NA,"-125",NA,NA,"MIN Vikings - DAL Cowboys"
"14","MIN Vikings","DAL Cowboys","Race to 15 Points","Neither",NA,"+2500",NA,NA,"MIN Vikings - DAL Cowboys"
"15","MIN Vikings","DAL Cowboys","Race to 15 Points","MIN Vikings",NA,"+110",NA,NA,"MIN Vikings - DAL Cowboys"
"16","MIN Vikings","DAL Cowboys","Race to 10 Points","DAL Cowboys",NA,"-120",NA,NA,"MIN Vikings - DAL Cowboys"
"17","MIN Vikings","DAL Cowboys","Race to 10 Points","Neither",NA,"+5000",NA,NA,"MIN Vikings - DAL Cowboys"
"18","MIN Vikings","DAL Cowboys","Race to 10 Points","MIN Vikings",NA,"+100",NA,NA,"MIN Vikings - DAL Cowboys"
"19","MIN Vikings","DAL Cowboys","MIN Vikings: Team Total Touchdowns","Over","2.5","-135",NA,NA,"MIN Vikings - DAL Cowboys"
"20","MIN Vikings","DAL Cowboys","MIN Vikings: Team Total Touchdowns","Under","2.5","-105",NA,NA,"MIN Vikings - DAL Cowboys"
"21","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 0:0 DAL Cowboys",NA,"+265",NA,NA,"MIN Vikings - DAL Cowboys"
"22","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 0:7 DAL Cowboys",NA,"+330",NA,NA,"MIN Vikings - DAL Cowboys"
"23","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 7:0 DAL Cowboys",NA,"+350",NA,NA,"MIN Vikings - DAL Cowboys"
"24","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 0:3 DAL Cowboys",NA,"+425",NA,NA,"MIN Vikings - DAL Cowboys"
"25","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 3:0 DAL Cowboys",NA,"+425",NA,NA,"MIN Vikings - DAL Cowboys"
"26","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 7:7 DAL Cowboys",NA,"+450",NA,NA,"MIN Vikings - DAL Cowboys"
"27","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 7:3 DAL Cowboys",NA,"+550",NA,NA,"MIN Vikings - DAL Cowboys"
"28","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 3:7 DAL Cowboys",NA,"+550",NA,NA,"MIN Vikings - DAL Cowboys"
"29","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 3:3 DAL Cowboys",NA,"+700",NA,NA,"MIN Vikings - DAL Cowboys"
"30","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 7:4 DAL Cowboys",NA,"+800",NA,NA,"MIN Vikings - DAL Cowboys"
"31","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 0:4 DAL Cowboys",NA,"+800",NA,NA,"MIN Vikings - DAL Cowboys"
"32","MIN Vikings","DAL Cowboys","DK Squares - Any Quarter","MIN Vikings 4:0 DAL Cowboys",NA,"+800",NA,NA,"MIN Vikings - DAL Cowboys"
