"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","CAR Panthers","SF 49ers","Deebo Samuel Receiving Yards","Over","34.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"2","CAR Panthers","SF 49ers","Deebo Samuel Receiving Yards","Under","34.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"3","CAR Panthers","SF 49ers","DJ Moore: Next Catch (after 0th Play of CAR Panthers Drive 0)","Over 9.5 Yards",NA,"-130",NA,NA,"CAR Panthers - SF 49ers"
"4","CAR Panthers","SF 49ers","DJ Moore: Next Catch (after 0th Play of CAR Panthers Drive 0)","Under 9.5 Yards",NA,"+100",NA,NA,"CAR Panthers - SF 49ers"
"5","CAR Panthers","SF 49ers","Baker Mayfield Passing Yards","Over","188.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"6","CAR Panthers","SF 49ers","Baker Mayfield Passing Yards","Under","188.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"7","CAR Panthers","SF 49ers","Robby Anderson Receptions","Over","2.5","-145",NA,NA,"CAR Panthers - SF 49ers"
"8","CAR Panthers","SF 49ers","Robby Anderson Receptions","Under","2.5","+110",NA,NA,"CAR Panthers - SF 49ers"
"9","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Give Up a Sack","Yes",NA,"+600",NA,NA,"CAR Panthers - SF 49ers"
"10","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Give Up a Sack","No",NA,"-1000",NA,NA,"CAR Panthers - SF 49ers"
"11","CAR Panthers","SF 49ers","Brandon Aiyuk Receptions","Over","2.5","+110",NA,NA,"CAR Panthers - SF 49ers"
"12","CAR Panthers","SF 49ers","Brandon Aiyuk Receptions","Under","2.5","-145",NA,NA,"CAR Panthers - SF 49ers"
"13","CAR Panthers","SF 49ers","Jordan Mason: Next Catch (after 0th Play of SF 49ers Drive 0)","Over 9.5 Yards",NA,"+100",NA,NA,"CAR Panthers - SF 49ers"
"14","CAR Panthers","SF 49ers","Jordan Mason: Next Catch (after 0th Play of SF 49ers Drive 0)","Under 9.5 Yards",NA,"-130",NA,NA,"CAR Panthers - SF 49ers"
"15","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Over","7.5","-710",NA,NA,"CAR Panthers - SF 49ers"
"16","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Under","7.5","+480",NA,NA,"CAR Panthers - SF 49ers"
"17","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Over","10.5","-230",NA,NA,"CAR Panthers - SF 49ers"
"18","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Under","10.5","+185",NA,NA,"CAR Panthers - SF 49ers"
"19","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Over","16.5","+140",NA,NA,"CAR Panthers - SF 49ers"
"20","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Under","16.5","-175",NA,NA,"CAR Panthers - SF 49ers"
"21","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Over","19.5","+255",NA,NA,"CAR Panthers - SF 49ers"
"22","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Under","19.5","-325",NA,NA,"CAR Panthers - SF 49ers"
"23","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Over","22.5","+530",NA,NA,"CAR Panthers - SF 49ers"
"24","CAR Panthers","SF 49ers","Total Alternate - 2nd Quarter","Under","22.5","-790",NA,NA,"CAR Panthers - SF 49ers"
"25","CAR Panthers","SF 49ers","Jauan Jennings: Next Catch (after 0th Play of SF 49ers Drive 0)","Over 9.5 Yards",NA,"-115",NA,NA,"CAR Panthers - SF 49ers"
"26","CAR Panthers","SF 49ers","Jauan Jennings: Next Catch (after 0th Play of SF 49ers Drive 0)","Under 9.5 Yards",NA,"-115",NA,NA,"CAR Panthers - SF 49ers"
"27","CAR Panthers","SF 49ers","CAR Panthers: Team Total Points - 2nd Quarter","Over","3.5","+120",NA,NA,"CAR Panthers - SF 49ers"
"28","CAR Panthers","SF 49ers","CAR Panthers: Team Total Points - 2nd Quarter","Under","3.5","-150",NA,NA,"CAR Panthers - SF 49ers"
"29","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","No Touchdown Scorer",NA,"-160",NA,NA,"CAR Panthers - SF 49ers"
"30","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","Jeff Wilson Jr.",NA,"+500",NA,NA,"CAR Panthers - SF 49ers"
"31","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","Deebo Samuel",NA,"+700",NA,NA,"CAR Panthers - SF 49ers"
"32","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","George Kittle",NA,"+900",NA,NA,"CAR Panthers - SF 49ers"
"33","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","Any Other Player",NA,"+1000",NA,NA,"CAR Panthers - SF 49ers"
"34","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","Brandon Aiyuk",NA,"+1000",NA,NA,"CAR Panthers - SF 49ers"
"35","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","Jordan Mason",NA,"+1200",NA,NA,"CAR Panthers - SF 49ers"
"36","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","Jauan Jennings",NA,"+1300",NA,NA,"CAR Panthers - SF 49ers"
"37","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Touchdown Scorer","Jimmy Garoppolo",NA,"+1400",NA,NA,"CAR Panthers - SF 49ers"
"38","CAR Panthers","SF 49ers","Ian Thomas: Next Catch (after 3rd Play of CAR Panthers Drive 2)","Over 9.5 Yards",NA,"+150",NA,NA,"CAR Panthers - SF 49ers"
"39","CAR Panthers","SF 49ers","Ian Thomas: Next Catch (after 3rd Play of CAR Panthers Drive 2)","Under 9.5 Yards",NA,"-195",NA,NA,"CAR Panthers - SF 49ers"
"40","CAR Panthers","SF 49ers","Jeff Wilson Jr. Rushing Yards","Over","95.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"41","CAR Panthers","SF 49ers","Jeff Wilson Jr. Rushing Yards","Under","95.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"42","CAR Panthers","SF 49ers","SF 49ers: Team Total Points - 3rd Quarter","Over","5.5","-120",NA,NA,"CAR Panthers - SF 49ers"
"43","CAR Panthers","SF 49ers","SF 49ers: Team Total Points - 3rd Quarter","Under","5.5","-110",NA,NA,"CAR Panthers - SF 49ers"
"44","CAR Panthers","SF 49ers","Baker Mayfield Passing Completions","Over","18.5","-125",NA,NA,"CAR Panthers - SF 49ers"
"45","CAR Panthers","SF 49ers","Baker Mayfield Passing Completions","Under","18.5","-105",NA,NA,"CAR Panthers - SF 49ers"
"46","CAR Panthers","SF 49ers","Christian McCaffrey: 100+ Rush + Receiving Yards and CAR Wins","Yes",NA,"+700",NA,NA,"CAR Panthers - SF 49ers"
"47","CAR Panthers","SF 49ers","Christian McCaffrey Rushing Yards","Over","53.5","-110",NA,NA,"CAR Panthers - SF 49ers"
"48","CAR Panthers","SF 49ers","Christian McCaffrey Rushing Yards","Under","53.5","-120",NA,NA,"CAR Panthers - SF 49ers"
"49","CAR Panthers","SF 49ers","Brandon Aiyuk Receiving Yards","Over","27.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"50","CAR Panthers","SF 49ers","Brandon Aiyuk Receiving Yards","Under","27.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"51","CAR Panthers","SF 49ers","Baker Mayfield Passing Touchdowns","Over","0.5","-175",NA,NA,"CAR Panthers - SF 49ers"
"52","CAR Panthers","SF 49ers","Baker Mayfield Passing Touchdowns","Under","0.5","+130",NA,NA,"CAR Panthers - SF 49ers"
"53","CAR Panthers","SF 49ers","Shi Smith Receiving Touchdowns","Over","0.5","+550",NA,NA,"CAR Panthers - SF 49ers"
"54","CAR Panthers","SF 49ers","Shi Smith Receiving Touchdowns","Under","0.5","-1000",NA,NA,"CAR Panthers - SF 49ers"
"55","CAR Panthers","SF 49ers","George Kittle Receiving Touchdowns","Over","0.5","+275",NA,NA,"CAR Panthers - SF 49ers"
"56","CAR Panthers","SF 49ers","George Kittle Receiving Touchdowns","Under","0.5","-400",NA,NA,"CAR Panthers - SF 49ers"
"57","CAR Panthers","SF 49ers","Jimmy Garoppolo Rushing Touchdowns","Over","0.5","+1000",NA,NA,"CAR Panthers - SF 49ers"
"58","CAR Panthers","SF 49ers","Jimmy Garoppolo Rushing Touchdowns","Under","0.5","-4000",NA,NA,"CAR Panthers - SF 49ers"
"59","CAR Panthers","SF 49ers","Total Points Odd/Even - 4th Quarter","Even",NA,"-110",NA,NA,"CAR Panthers - SF 49ers"
"60","CAR Panthers","SF 49ers","Total Points Odd/Even - 4th Quarter","Odd",NA,"-110",NA,NA,"CAR Panthers - SF 49ers"
"61","CAR Panthers","SF 49ers","Total Points Odd/Even - 2nd Quarter","Even",NA,"-110",NA,NA,"CAR Panthers - SF 49ers"
"62","CAR Panthers","SF 49ers","Total Points Odd/Even - 2nd Quarter","Odd",NA,"-110",NA,NA,"CAR Panthers - SF 49ers"
"63","CAR Panthers","SF 49ers","Team Total Points Odd/Even","Even",NA,"-115",NA,NA,"CAR Panthers - SF 49ers"
"64","CAR Panthers","SF 49ers","Team Total Points Odd/Even","Even",NA,"-110",NA,NA,"CAR Panthers - SF 49ers"
"65","CAR Panthers","SF 49ers","Team Total Points Odd/Even","Odd",NA,"-110",NA,NA,"CAR Panthers - SF 49ers"
"66","CAR Panthers","SF 49ers","Team Total Points Odd/Even","Odd",NA,"-105",NA,NA,"CAR Panthers - SF 49ers"
"67","CAR Panthers","SF 49ers","3rd SF 49ers Drive, 6th Play Attempt Type","Pass",NA,"-295",NA,NA,"CAR Panthers - SF 49ers"
"68","CAR Panthers","SF 49ers","3rd SF 49ers Drive, 6th Play Attempt Type","Rush",NA,"+220",NA,NA,"CAR Panthers - SF 49ers"
"69","CAR Panthers","SF 49ers","Deebo Samuel Rushing Yards","Over","16.5","-110",NA,NA,"CAR Panthers - SF 49ers"
"70","CAR Panthers","SF 49ers","Deebo Samuel Rushing Yards","Under","16.5","-120",NA,NA,"CAR Panthers - SF 49ers"
"71","CAR Panthers","SF 49ers","Ian Thomas Receiving Yards","Over","12.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"72","CAR Panthers","SF 49ers","Ian Thomas Receiving Yards","Under","12.5","-115",NA,NA,"CAR Panthers - SF 49ers"
"73","CAR Panthers","SF 49ers","Christian McCaffrey Rushing Touchdowns","Over","0.5","+270",NA,NA,"CAR Panthers - SF 49ers"
"74","CAR Panthers","SF 49ers","Christian McCaffrey Rushing Touchdowns","Under","0.5","-390",NA,NA,"CAR Panthers - SF 49ers"
"75","CAR Panthers","SF 49ers","Baker Mayfield Rushing Touchdowns","Over","0.5","+950",NA,NA,"CAR Panthers - SF 49ers"
"76","CAR Panthers","SF 49ers","Baker Mayfield Rushing Touchdowns","Under","0.5","-4000",NA,NA,"CAR Panthers - SF 49ers"
"77","CAR Panthers","SF 49ers","George Kittle Receiving Yards","Over","66.5","-120",NA,NA,"CAR Panthers - SF 49ers"
"78","CAR Panthers","SF 49ers","George Kittle Receiving Yards","Under","66.5","-110",NA,NA,"CAR Panthers - SF 49ers"
"79","CAR Panthers","SF 49ers","Jimmy Garoppolo Passing Touchdowns","Over","2.5","+155",NA,NA,"CAR Panthers - SF 49ers"
"80","CAR Panthers","SF 49ers","Jimmy Garoppolo Passing Touchdowns","Under","2.5","-215",NA,NA,"CAR Panthers - SF 49ers"
"81","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Achieve Another First Down This Drive (after 4th Play)","Yes",NA,"-150",NA,NA,"CAR Panthers - SF 49ers"
"82","CAR Panthers","SF 49ers","3rd SF 49ers Drive - Achieve Another First Down This Drive (after 4th Play)","No",NA,"+115",NA,NA,"CAR Panthers - SF 49ers"
"83","CAR Panthers","SF 49ers","Baker Mayfield 250+ Pass Yards and C. McCaffrey 75+ Rush Yards","Yes",NA,"+1400",NA,NA,"CAR Panthers - SF 49ers"
"84","CAR Panthers","SF 49ers","Jeff Wilson Jr.: Next Carry (after 2nd Play of SF 49ers Drive 3)","Over 3.5 Yards",NA,"+100",NA,NA,"CAR Panthers - SF 49ers"
"85","CAR Panthers","SF 49ers","Jeff Wilson Jr.: Next Carry (after 2nd Play of SF 49ers Drive 3)","Under 3.5 Yards",NA,"-130",NA,NA,"CAR Panthers - SF 49ers"
"86","CAR Panthers","SF 49ers","Jauan Jennings Receptions","Over","1.5","+170",NA,NA,"CAR Panthers - SF 49ers"
"87","CAR Panthers","SF 49ers","Jauan Jennings Receptions","Under","1.5","-235",NA,NA,"CAR Panthers - SF 49ers"
"88","CAR Panthers","SF 49ers","3rd Quarter (3 Way)","SF 49ers",NA,"+100",NA,NA,"CAR Panthers - SF 49ers"
"89","CAR Panthers","SF 49ers","3rd Quarter (3 Way)","Draw",NA,"+330",NA,NA,"CAR Panthers - SF 49ers"
"90","CAR Panthers","SF 49ers","3rd Quarter (3 Way)","CAR Panthers",NA,"+175",NA,NA,"CAR Panthers - SF 49ers"
"91","CAR Panthers","SF 49ers","Total Alternate - 2nd Half","Over","10.5","-600",NA,NA,"CAR Panthers - SF 49ers"
"92","CAR Panthers","SF 49ers","Total Alternate - 2nd Half","Under","10.5","+430",NA,NA,"CAR Panthers - SF 49ers"
