"","Home","Away","Bet","Outcome","Line","Odds","NA","NA","Matchup"
"1","CIN Bengals","BAL Ravens","Total Points Odd/Even - 2nd Half","Even","-110",NA,NA,NA,"CIN Bengals - BAL Ravens"
"2","CIN Bengals","BAL Ravens","Total Points Odd/Even - 2nd Half","Odd","-110",NA,NA,NA,"CIN Bengals - BAL Ravens"
"3","CIN Bengals","BAL Ravens","Fresh From The Field","J. Dobbins 75+ Rush Yards, M. Andrews 50+ Rec Yards","+300",NA,NA,NA,"CIN Bengals - BAL Ravens"
"4","CIN Bengals","BAL Ravens","Fresh From The Field","J. Chase 100+ Rec Yards, J. Mixon 1+ Rush TD","+500",NA,NA,NA,"CIN Bengals - BAL Ravens"
"5","CIN Bengals","BAL Ravens","Total Points Odd/Even","Odd","-110",NA,NA,NA,"CIN Bengals - BAL Ravens"
"6","CIN Bengals","BAL Ravens","Total Points Odd/Even","Even","-110",NA,NA,NA,"CIN Bengals - BAL Ravens"
"7","CIN Bengals","BAL Ravens","Race to 25 Points","BAL Ravens","+800",NA,NA,NA,"CIN Bengals - BAL Ravens"
"8","CIN Bengals","BAL Ravens","Race to 25 Points","Neither","+120",NA,NA,NA,"CIN Bengals - BAL Ravens"
"9","CIN Bengals","BAL Ravens","Race to 25 Points","CIN Bengals","+100",NA,NA,NA,"CIN Bengals - BAL Ravens"
"10","CIN Bengals","BAL Ravens","Joe Mixon Rushing Attempts","Over","-115","14.5",NA,NA,"CIN Bengals - BAL Ravens"
"11","CIN Bengals","BAL Ravens","Joe Mixon Rushing Attempts","Under","-115","14.5",NA,NA,"CIN Bengals - BAL Ravens"
"12","CIN Bengals","BAL Ravens","Tyler Boyd Alternate Receiving Yards","25+ Yards","-195",NA,NA,NA,"CIN Bengals - BAL Ravens"
"13","CIN Bengals","BAL Ravens","Tyler Boyd Alternate Receiving Yards","50+ Yards","+240",NA,NA,NA,"CIN Bengals - BAL Ravens"
"14","CIN Bengals","BAL Ravens","Tyler Boyd Alternate Receiving Yards","75+ Yards","+650",NA,NA,NA,"CIN Bengals - BAL Ravens"
"15","CIN Bengals","BAL Ravens","Total 3rd Quarter","Over","+100","7.5",NA,TRUE,"CIN Bengals - BAL Ravens"
"16","CIN Bengals","BAL Ravens","Total 3rd Quarter","Under","-120","7.5",NA,TRUE,"CIN Bengals - BAL Ravens"
"17","CIN Bengals","BAL Ravens","Moneyline 4th Quarter","BAL Ravens","+180",NA,NA,TRUE,"CIN Bengals - BAL Ravens"
"18","CIN Bengals","BAL Ravens","Moneyline 4th Quarter","CIN Bengals","-210",NA,NA,TRUE,"CIN Bengals - BAL Ravens"
"19","CIN Bengals","BAL Ravens","Each Team to Score 1 Touchdown in Each Half","Yes","+310",NA,NA,NA,"CIN Bengals - BAL Ravens"
"20","CIN Bengals","BAL Ravens","Each Team to Score 1 Touchdown in Each Half","No","-450",NA,NA,NA,"CIN Bengals - BAL Ravens"
"21","CIN Bengals","BAL Ravens","First TD Scorer","Joe Mixon","+425",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"22","CIN Bengals","BAL Ravens","First TD Scorer","Ja'Marr Chase","+500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"23","CIN Bengals","BAL Ravens","First TD Scorer","Tee Higgins","+750",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"24","CIN Bengals","BAL Ravens","First TD Scorer","Tyler Boyd","+1100",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"25","CIN Bengals","BAL Ravens","First TD Scorer","J.K. Dobbins","+1200",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"26","CIN Bengals","BAL Ravens","First TD Scorer","Hayden Hurst","+1500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"27","CIN Bengals","BAL Ravens","First TD Scorer","Mark Andrews","+1500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"28","CIN Bengals","BAL Ravens","First TD Scorer","Samaje Perine","+1500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"29","CIN Bengals","BAL Ravens","First TD Scorer","Joe Burrow","+1600",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"30","CIN Bengals","BAL Ravens","First TD Scorer","Tyler Huntley","+1700",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"31","CIN Bengals","BAL Ravens","First TD Scorer","Demarcus Robinson","+2200",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"32","CIN Bengals","BAL Ravens","First TD Scorer","Gus Edwards","+2200",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"33","CIN Bengals","BAL Ravens","First TD Scorer","Kenyan Drake","+2200",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"34","CIN Bengals","BAL Ravens","First TD Scorer","CIN Bengals D/ST","+2500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"35","CIN Bengals","BAL Ravens","First TD Scorer","Trenton Irwin","+2500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"36","CIN Bengals","BAL Ravens","First TD Scorer","Sammy Watkins","+3000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"37","CIN Bengals","BAL Ravens","First TD Scorer","Isaiah Likely","+3000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"38","CIN Bengals","BAL Ravens","First TD Scorer","Mitchell Wilcox","+4000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"39","CIN Bengals","BAL Ravens","First TD Scorer","James Proche","+4000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"40","CIN Bengals","BAL Ravens","First TD Scorer","Tylan Wallace","+5000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"41","CIN Bengals","BAL Ravens","First TD Scorer","BAL Ravens D/ST","+5000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"42","CIN Bengals","BAL Ravens","First TD Scorer","Trent Taylor","+5500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"43","CIN Bengals","BAL Ravens","First TD Scorer","No Touchdown Scorer","+6500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"44","CIN Bengals","BAL Ravens","First TD Scorer","Justice Hill","+7000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"45","CIN Bengals","BAL Ravens","First TD Scorer","Josh Oliver","+7000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"46","CIN Bengals","BAL Ravens","First TD Scorer","Stanley Morgan","+7500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"47","CIN Bengals","BAL Ravens","First TD Scorer","Devin Asiasi","+7500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"48","CIN Bengals","BAL Ravens","First TD Scorer","Chris Evans","+7500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"49","CIN Bengals","BAL Ravens","First TD Scorer","Trayveon Williams","+7500",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"50","CIN Bengals","BAL Ravens","First TD Scorer","Patrick Ricard","+11000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"51","CIN Bengals","BAL Ravens","First TD Scorer","Charlie Kolar","+15000",NA,"First Scorer",NA,"CIN Bengals - BAL Ravens"
"52","CIN Bengals","BAL Ravens","BAL Ravens Total Points Bands","11-20","+115",NA,NA,NA,"CIN Bengals - BAL Ravens"
"53","CIN Bengals","BAL Ravens","BAL Ravens Total Points Bands","0-10","+180",NA,NA,NA,"CIN Bengals - BAL Ravens"
"54","CIN Bengals","BAL Ravens","BAL Ravens Total Points Bands","21-30","+330",NA,NA,NA,"CIN Bengals - BAL Ravens"
"55","CIN Bengals","BAL Ravens","BAL Ravens Total Points Bands","31-40","+1800",NA,NA,NA,"CIN Bengals - BAL Ravens"
"56","CIN Bengals","BAL Ravens","BAL Ravens Total Points Bands","41-50","+6500",NA,NA,NA,"CIN Bengals - BAL Ravens"
"57","CIN Bengals","BAL Ravens","BAL Ravens Total Points Bands","51+","+10000",NA,NA,NA,"CIN Bengals - BAL Ravens"
"58","CIN Bengals","BAL Ravens","Total Points Odd/Even - 1st Half","Even","-110",NA,NA,NA,"CIN Bengals - BAL Ravens"
"59","CIN Bengals","BAL Ravens","Total Points Odd/Even - 1st Half","Odd","-110",NA,NA,NA,"CIN Bengals - BAL Ravens"
"60","CIN Bengals","BAL Ravens","Total 4th Quarter","Over","-110","10.5",NA,TRUE,"CIN Bengals - BAL Ravens"
"61","CIN Bengals","BAL Ravens","Total 4th Quarter","Under","-110","10.5",NA,TRUE,"CIN Bengals - BAL Ravens"
"62","CIN Bengals","BAL Ravens","Hayden Hurst Alternate Receiving Yards","25+ Yards","-185",NA,NA,NA,"CIN Bengals - BAL Ravens"
"63","CIN Bengals","BAL Ravens","Hayden Hurst Alternate Receiving Yards","50+ Yards","+265",NA,NA,NA,"CIN Bengals - BAL Ravens"
"64","CIN Bengals","BAL Ravens","Hayden Hurst Alternate Receiving Yards","75+ Yards","+700",NA,NA,NA,"CIN Bengals - BAL Ravens"
"65","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Joe Mixon","+170",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"66","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Ja'Marr Chase","+205",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"67","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Tee Higgins","+290",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"68","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Tyler Boyd","+425",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"69","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","J.K. Dobbins","+425",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"70","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Mark Andrews","+500",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"71","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Samaje Perine","+550",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"72","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Hayden Hurst","+600",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"73","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Tyler Huntley","+600",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"74","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Joe Burrow","+600",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"75","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Demarcus Robinson","+750",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"76","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Gus Edwards","+750",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
"77","CIN Bengals","BAL Ravens","Anytime Touchdown Scorer - 1st Half","Kenyan Drake","+750",NA,"Anytime Scorer",NA,"CIN Bengals - BAL Ravens"
